timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1556157649,331,331.0,331.0,331.0,1.06,0.74,2.15,5.18,25.07,25.07,0.00,377,377.0,377.0,377.0,1.45,0.93,3.80,13.55,22.45,22.45,0.00000
1556157650,828,497.0,497.0,497.0,0.86,0.51,0.94,4.25,57.48,57.48,0.09,726,349.0,349.0,349.0,1.55,0.67,3.17,24.33,109.90,109.90,0.09458
1556157651,1382,554.0,554.0,554.0,0.78,0.47,0.78,5.92,26.69,42.17,0.14,1417,691.0,691.0,691.0,0.78,0.60,0.85,6.18,17.56,27.15,0.13735
1556157652,2030,648.0,648.0,648.0,0.59,0.44,0.56,3.04,19.81,26.85,0.12,2081,664.0,664.0,664.0,0.87,0.56,1.13,9.55,21.30,25.69,0.11840
1556157653,2542,512.0,512.0,512.0,0.86,0.42,0.73,10.88,27.16,82.38,0.09,2534,453.0,453.0,453.0,1.22,0.55,0.90,11.28,133.89,133.89,0.09430
1556157654,3251,709.0,709.0,709.0,0.61,0.41,0.51,5.28,29.29,29.34,0.09,3195,661.0,661.0,661.0,0.82,0.52,0.73,7.09,24.04,74.45,0.09042
1556157655,4002,751.0,751.0,751.0,0.59,0.40,0.50,2.57,31.06,31.87,0.08,3862,667.0,667.0,667.0,0.76,0.51,0.76,6.15,27.59,33.88,0.08228
1556157656,4722,720.0,720.0,720.0,0.63,0.41,0.53,3.37,27.20,31.72,0.07,4569,707.0,707.0,707.0,0.74,0.54,0.78,5.85,27.66,29.85,0.07471
1556157657,5569,847.0,847.0,847.0,0.53,0.40,0.51,3.09,22.20,27.49,0.07,5197,628.0,628.0,628.0,0.83,0.52,0.74,7.49,26.39,83.76,0.07132
1556157658,6347,778.0,778.0,778.0,0.51,0.38,0.49,2.33,26.57,28.56,0.07,6081,884.0,884.0,884.0,0.67,0.49,0.70,5.18,23.53,24.23,0.06956
1556157659,7002,655.0,655.0,655.0,0.47,0.36,0.46,0.63,20.10,26.94,0.06,6741,660.0,660.0,660.0,1.02,0.48,0.72,6.12,106.63,125.63,0.06359
1556157660,7502,500.0,500.0,500.0,0.87,0.36,0.47,3.82,172.23,172.23,0.06,7237,496.0,496.0,496.0,1.12,0.47,0.78,10.76,106.89,106.89,0.05931
1556157661,8345,843.0,843.0,843.0,0.51,0.36,0.45,2.09,28.75,29.13,0.06,8028,791.0,791.0,791.0,0.61,0.46,0.66,5.64,19.48,21.84,0.05711
