timestamp,value
1558128780,508800
1558128781,508800
1558128782,508800
1558128783,508800
1558128784,508800
1558128785,508800
1558128786,508800
1558128787,508800
1558128788,508800
1558128789,508800
1558128790,508800
1558128791,508800
1558128792,508800
1558128793,508800
1558128794,508800
1558128795,508800
1558128796,508800
1558128797,508800
1558128798,508800
1558128799,508800
1558128800,508800
1558128801,508801
1558128802,508802
1558128803,508803
1558128804,508803
1558128805,508803
1558128806,508803
1558128807,508804
1558128808,508804
1558128809,508805
1558128810,508806
1558128811,508806
1558128812,508806
1558128813,508806
1558128814,508806
1558128815,508808
1558128816,508809
1558128817,508809
1558128818,508809
1558128819,508809
1558128820,508810
1558128821,508810
1558128822,508819
1558128823,508819
1558128824,508819
1558128825,508819
1558128826,508823
1558128827,508827
1558128828,508837
1558128829,508842
1558128830,508847
1558128831,508852
1558128832,508857
1558128833,508863
1558128834,508871
1558128835,508877
1558128836,508884
1558128837,508893
1558128838,508893
1558128839,508896
1558128840,508907
1558128841,508915
1558128842,508925
1558128843,508933
1558128844,508943
1558128845,508956
1558128846,508967
1558128847,508976
1558128848,508984
1558128849,508992
1558128850,509003
1558128851,509018
1558128852,509026
1558128853,509039
1558128854,509047
1558128855,509062
1558128856,509078
1558128857,509088
1558128858,509100
1558128859,509106
1558128860,509120
1558128861,509124
1558128862,509134
1558128863,509142
1558128864,509149
1558128865,509157
1558128866,509164
1558128867,509174
1558128868,509182
1558128869,509186
1558128870,509194
1558128871,509206
1558128872,509218
1558128873,509228
1558128874,509237
1558128875,509246
1558128876,509257
1558128877,509262
1558128878,509266
1558128879,509270
1558128880,509276
1558128881,509287
1558128882,509298
1558128883,509308
1558128884,509312
1558128885,509322
1558128886,509329
1558128887,509334
1558128888,509342
1558128889,509346
1558128890,509353
1558128891,509359
1558128892,509362
1558128893,509368
1558128894,509374
1558128895,509378
1558128896,509383
1558128897,509384
1558128898,509388
1558128899,509397
1558128900,509405
1558128901,509410
1558128902,509419
1558128903,509422
1558128904,509426
1558128905,509431
1558128906,509435
1558128907,509441
1558128908,509444
1558128909,509447
1558128910,509449
1558128911,509454
1558128912,509459
1558128913,509465
1558128914,509469
1558128915,509473
1558128916,509481
1558128917,509484
1558128918,509489
1558128919,509490
1558128920,509499
1558128921,509504
1558128922,509511
1558128923,509512
1558128924,509516
1558128925,509522
1558128926,509528
1558128927,509531
1558128928,509535
1558128929,509539
1558128930,509544
1558128931,509549
1558128932,509551
1558128933,509556
1558128934,509559
1558128935,509565
1558128936,509570
1558128937,509577
1558128938,509581
1558128939,509586
1558128940,509592
1558128941,509598
1558128942,509599
1558128943,509599
1558128944,509604
1558128945,509607
1558128946,509612
1558128947,509615
1558128948,509621
1558128949,509624
1558128950,509627
1558128951,509633
1558128952,509635
1558128953,509638
1558128954,509642
1558128955,509643
1558128956,509646
1558128957,509648
1558128958,509648
1558128959,509650
1558128960,509651
1558128961,509655
1558128962,509659
1558128963,509661
1558128964,509666
1558128965,509669
1558128966,509672
1558128967,509672
1558128968,509674
1558128969,509676
1558128970,509682
1558128971,509684
1558128972,509685
1558128973,509686
1558128974,509687
1558128975,509690
1558128976,509695
1558128977,509698
1558128978,509699
1558128979,509701
1558128980,509703
1558128981,509704
1558128982,509706
1558128983,509708
1558128984,509714
1558128985,509717
1558128986,509720
1558128987,509722
1558128988,509724
1558128989,509729
1558128990,509731
1558128991,509732
1558128992,509735
1558128993,509737
1558128994,509740
1558128995,509741
1558128996,509744
1558128997,509746
1558128998,509747
1558128999,509752
1558129000,509755
1558129001,509759
1558129002,509761
1558129003,509764
1558129004,509764
1558129005,509764
1558129006,509767
1558129007,509769
1558129008,509769
1558129009,509771
1558129010,509772
1558129011,509774
1558129012,509777
1558129013,509780
1558129014,509782
1558129015,509783
1558129016,509784
1558129017,509786
1558129018,509787
1558129019,509790
1558129020,509792
1558129021,509794
1558129022,509795
1558129023,509795
1558129024,509795
1558129025,509797
1558129026,509799
1558129027,509803
1558129028,509803
1558129029,509804
1558129030,509807
1558129031,509809
1558129032,509811
1558129033,509812
1558129034,509812
1558129035,509814
1558129036,509814
1558129037,509820
1558129038,509821
1558129039,509822
1558129040,509823
1558129041,509825
1558129042,509826
1558129043,509827
1558129044,509827
1558129045,509828
1558129046,509828
1558129047,509830
1558129048,509833
1558129049,509834
1558129050,509836
1558129051,509837
1558129052,509838
1558129053,509840
1558129054,509840
1558129055,509843
1558129056,509845
1558129057,509845
1558129058,509846
1558129059,509847
1558129060,509850
1558129061,509850
1558129062,509854
1558129063,509854
1558129064,509855
1558129065,509858
1558129066,509860
1558129067,509861
1558129068,509861
1558129069,509862
1558129070,509866
1558129071,509869
1558129072,509870
1558129073,509870
1558129074,509870
1558129075,509873
1558129076,509874
1558129077,509875
1558129078,509875
1558129079,509876
1558129080,509878
1558129081,509878
1558129082,509879
1558129083,509879
1558129084,509880
1558129085,509881
1558129086,509883
1558129087,509884
1558129088,509886
1558129089,509886
1558129090,509887
1558129091,509888
1558129092,509890
1558129093,509891
1558129094,509891
1558129095,509891
1558129096,509892
1558129097,509892
1558129098,509892
1558129099,509894
1558129100,509895
1558129101,509896
1558129102,509897
1558129103,509898
1558129104,509899
1558129105,509899
1558129106,509900
1558129107,509900
1558129108,509900
1558129109,509900
1558129110,509901
1558129111,509901
1558129112,509901
1558129113,509902
1558129114,509903
1558129115,509903
1558129116,509904
1558129117,509904
1558129118,509904
1558129119,509904
1558129120,509906
1558129121,509906
1558129122,509906
1558129123,509906
1558129124,509909
1558129125,509910
1558129126,509910
1558129127,509911
1558129128,509912
1558129129,509912
1558129130,509913
1558129131,509913
1558129132,509913
1558129133,509913
1558129134,509914
1558129135,509916
1558129136,509917
1558129137,509917
1558129138,509919
1558129139,509920
1558129140,509921
1558129141,509922
1558129142,509922
1558129143,509922
1558129144,509924
1558129145,509926
1558129146,509928
1558129147,509929
1558129148,509929
1558129149,509929
1558129150,509930
1558129151,509930
1558129152,509930
1558129153,509930
1558129154,509930
1558129155,509931
1558129156,509931
1558129157,509932
1558129158,509932
1558129159,509932
1558129160,509934
1558129161,509934
1558129162,509934
1558129163,509934
1558129164,509934
1558129165,509934
1558129166,509935
1558129167,509935
1558129168,509935
1558129169,509936
1558129170,509940
1558129171,509940
1558129172,509942
1558129173,509942
1558129174,509942
1558129175,509942
1558129176,509942
1558129177,509943
1558129178,509943
1558129179,509947
1558129180,509949
1558129181,509949
1558129182,509949
1558129183,509949
1558129184,509949
1558129185,509950
1558129186,509950
1558129187,509950
1558129188,509950
1558129189,509950
1558129190,509951
