timestamp,value
1558128780,11419
1558128781,22994
1558128782,11462
1558128783,22831
1558128784,11454
1558128785,22816
1558128786,11717
1558128787,23079
1558128788,12174
1558128789,23547
1558128790,11373
1558128791,22944
1558128792,11942
1558128793,23294
1558128794,12404
1558128795,23759
1558128796,12004
1558128797,23359
1558128798,12114
1558128799,23477
1558128800,11403
1558128801,22764
1558128802,10770
1558128803,22138
1558128804,11307
1558128805,22681
1558128806,11187
1558128807,22562
1558128808,11652
1558128809,23024
1558128810,11570
1558128811,22738
1558128812,11406
1558128813,22773
1558128814,11707
1558128815,23084
1558128816,11789
1558128817,23149
1558128818,12160
1558128819,23313
1558128820,11663
1558128821,23029
1558128822,11913
1558128823,23294
1558128824,11695
1558128825,23052
1558128826,11280
1558128827,22643
1558128828,11292
1558128829,22878
1558128830,11019
1558128831,22585
1558128832,11587
1558128833,22950
1558128834,11325
1558128835,22684
1558128836,11821
1558128837,23183
1558128838,11824
1558128839,23185
1558128840,12192
1558128841,23561
1558128842,11915
1558128843,23286
1558128844,11488
1558128845,22861
1558128846,11534
1558128847,22884
1558128848,11155
1558128849,22297
1558128850,10967
1558128851,22338
1558128852,11114
1558128853,22685
1558128854,10970
1558128855,22339
1558128856,11681
1558128857,23046
1558128858,11297
1558128859,22665
1558128860,11283
1558128861,22650
1558128862,11051
1558128863,22421
1558128864,11353
1558128865,22915
1558128866,11453
1558128867,22810
1558128868,11813
1558128869,23182
1558128870,11609
1558128871,22747
1558128872,11292
1558128873,22657
1558128874,11051
1558128875,22418
1558128876,10860
1558128877,22219
1558128878,11223
1558128879,22587
1558128880,11218
1558128881,22575
1558128882,11131
1558128883,22491
1558128884,11337
1558128885,22701
1558128886,11389
1558128887,22761
1558128888,11438
1558128889,22796
1558128890,11117
1558128891,22478
1558128892,10820
1558128893,22376
1558128894,10877
1558128895,22234
1558128896,11108
1558128897,22482
1558128898,11558
1558128899,22923
1558128900,11362
1558128901,22520
1558128902,11354
1558128903,22727
1558128904,11125
1558128905,22494
1558128906,11629
1558128907,22761
1558128908,11420
1558128909,22571
1558128910,12137
1558128911,23499
1558128912,11533
1558128913,22894
1558128914,12308
1558128915,23661
1558128916,11725
1558128917,23100
1558128918,11548
1558128919,23124
1558128920,11560
1558128921,22715
1558128922,11530
1558128923,22888
1558128924,11696
1558128925,23064
