timestamp,value
1562008692,220030
1562008693,381288
1562008694,208185
1562008695,366284
1562008696,193856
1562008697,363779
1562008698,212458
1562008699,372917
1562008700,197957
1562008701,357112
1562008702,184664
1562008703,345119
1562008704,165046
1562008705,324583
1562008706,479922
1562008707,216599
1562008708,372995
1562008709,224297
1562008710,381145
1562008711,220588
1562008712,374508
1562008713,197057
1562008714,359811
1562008715,188993
1562008716,372590
1562008717,219212
1562008718,373991
1562008719,184260
1562008720,341798
1562008721,171444
1562008722,325978
1562008723,162503
1562008724,318425
1562008725,477291
1562008726,219460
1562008727,376275
1562008728,191766
1562008729,355348
1562008730,209181
1562008731,368925
1562008732,200203
1562008733,363093
1562008734,189076
1562008735,349508
1562008736,195947
1562008737,357075
1562008738,194922
1562008739,356694
1562008740,188096
1562008741,350226
1562008742,178727
1562008743,340228
1562008744,161441
1562008745,318472
1562008746,476914
1562008747,219144
1562008748,373693
1562008749,193927
1562008750,347665
1562008751,186310
1562008752,344561
1562008753,189526
1562008754,342946
1562008755,166734
1562008756,320391
1562008757,481702
1562008758,219381
1562008759,378049
1562008760,199959
1562008761,360365
1562008762,170173
1562008763,335576
1562008764,163395
1562008765,321170
1562008766,476421
1562008767,215095
1562008768,163524
1562008769,323342
1562008770,477335
1562008771,213443
1562008772,364898
1562008773,209652
1562008774,363962
1562008775,204364
1562008776,80813
1562008777,237980
1562008778,162826
1562008779,338770
1562008780,166783
1562008781,325193
1562008782,478271
1562008783,215277
1562008784,371643
1562008785,220976
1562008786,377851
1562008787,199127
1562008788,352713
1562008789,189214
1562008790,355713
1562008791,198272
1562008792,354239
1562008793,186328
1562008794,346544
1562008795,171442
1562008796,326575
1562008797,162912
1562008798,317210
1562008799,476900
1562008800,214635
1562008801,373726
1562008802,186934
1562008803,348301
1562008804,163140
1562008805,321444
1562008806,67543
1562008807,224754
1562008808,155911
1562008809,313169
1562008810,470792
1562008811,229178
1562008812,391418
1562008813,230038
1562008814,385693
1562008815,225688
1562008816,379734
1562008817,223732
1562008818,379475
1562008819,217326
1562008820,371211
1562008821,207435
1562008822,136369
1562008823,294054
1562008824,447615
1562008825,204285
1562008826,358293
1562008827,190812
1562008828,349915
1562008829,179403
1562008830,338589
1562008831,168452
1562008832,322574
1562008833,165504
1562008834,322773
1562008835,483956
1562008836,251527
1562008837,170495
1562008838,324470
1562008839,486573
1562008840,224134
1562008841,381360
1562008842,201062
1562008843,355574
1562008844,166639
1562008845,328667
1562008846,482458
1562008847,224300
1562008848,376761
1562008849,193341
1562008850,365397
1562008851,210622
1562008852,365069
1562008853,206198
1562008854,370747
1562008855,244545
1562008856,163666
1562008857,321759
1562008858,476642
1562008859,217689
1562008860,376695
1562008861,216503
1562008862,372631
1562008863,212919
1562008864,369499
1562008865,210869
1562008866,67599
1562008867,225619
1562008868,142216
1562008869,299918
1562008870,455485
1562008871,218378
1562008872,373596
1562008873,191905
1562008874,349859
1562008875,182635
1562008876,338488
1562008877,181424
1562008878,335645
1562008879,160047
1562008880,323211
1562008881,140151
1562008882,292256
1562008883,455629
1562008884,220883
1562008885,377880
1562008886,199551
1562008887,355678
1562008888,186756
1562008889,344931
1562008890,173675
1562008891,332640
1562008892,162498
1562008893,332961
1562008894,164187
1562008895,323643
1562008896,162103
1562008897,320148
1562008898,156922
1562008899,319261
1562008900,475326
1562008901,221570
1562008902,377734
1562008903,197973
1562008904,370252
1562008905,222596
1562008906,377248
1562008907,199321
1562008908,354764
1562008909,168764
1562008910,329599
1562008911,153576
1562008912,305603
1562008913,465586
1562008914,215753
1562008915,378004
1562008916,202501
1562008917,358870
1562008918,163665
1562008919,321823
1562008920,166489
1562008921,328239
1562008922,478820
1562008923,215519
1562008924,373683
1562008925,219532
1562008926,375583
1562008927,206221
1562008928,361744
1562008929,191660
1562008930,349922
1562008931,199125
1562008932,353671
1562008933,174174
1562008934,332405
1562008935,162718
1562008936,324911
1562008937,147945
1562008938,301090
1562008939,457732
1562008940,212040
1562008941,379621
1562008942,223308
1562008943,381267
1562008944,192999
1562008945,353607
1562008946,190296
1562008947,352985
1562008948,182692
1562008949,343178
1562008950,166915
1562008951,328671
1562008952,484820
1562008953,224383
1562008954,379623
1562008955,223448
1562008956,82055
1562008957,247640
1562008958,181336
1562008959,340857
1562008960,144522
1562008961,300588
1562008962,454622
1562008963,219340
1562008964,377990
1562008965,202022
1562008966,356293
1562008967,166445
1562008968,335183
1562008969,165800
1562008970,323726
1562008971,481547
1562008972,213417
1562008973,374582
1562008974,216173
1562008975,380484
1562008976,199354
1562008977,356117
1562008978,180514
1562008979,347000
1562008980,180436
1562008981,339215
1562008982,161795
1562008983,320465
1562008984,153565
1562008985,315558
1562008986,384428
1562008987,224663
1562008988,350680
1562008989,221641
1562008990,62975
1562008991,227199
1562008992,162190
1562008993,319559
1562008994,474462
1562008995,225348
1562008996,382354
1562008997,216918
1562008998,370003
1562008999,191886
1562009000,346333
1562009001,196212
1562009002,354355
1562009003,180144
1562009004,333512
1562009005,160611
1562009006,334770
1562009007,165470
1562009008,318628
1562009009,475792
1562009010,207903
1562009011,374618
1562009012,213010
1562009013,371330
1562009014,192954
1562009015,351562
1562009016,207689
1562009017,161493
1562009018,316494
1562009019,473757
1562009020,206270
1562009021,365428
1562009022,196765
1562009023,360407
1562009024,195638
1562009025,354719
1562009026,191053
1562009027,349230
1562009028,213364
1562009029,372574
1562009030,199392
1562009031,358999
1562009032,181263
1562009033,336700
1562009034,166889
1562009035,323286
1562009036,480477
1562009037,215189
1562009038,369266
1562009039,229593
1562009040,366677
1562009041,226269
1562009042,378540
1562009043,220988
1562009044,375629
1562009045,219823
1562009046,376737
1562009047,201556
1562009048,353832
1562009049,165593
1562009050,339937
1562009051,170415
1562009052,325868
1562009053,157570
1562009054,309826
1562009055,468456
1562009056,219633
1562009057,376871
1562009058,187020
1562009059,344588
1562009060,165103
1562009061,348732
1562009062,180377
1562009063,340230
1562009064,142985
1562009065,301409
1562009066,458279
1562009067,223633
1562009068,378222
