timestamp,value
1558038906,208
1558038908,165
1558038910,188
1558038912,179
1558038914,166
1558038916,168
1558038918,185
1558038920,185
1558038922,208
1558038924,191
1558038926,168
1558038928,183
1558038930,207
1558038932,162
1558038934,188
1558038936,220
1558038938,176
1558038940,199
1558038944,184
1558038946,163
1558038948,163
1558038950,181
1558038952,161
1558038954,204
1558038956,162
1558038958,194
1558038960,181
1558038962,196
1558038964,180
1558038966,161
1558038968,195
1558038970,164
1558038972,162
1558038974,167
1558038976,164
1558038978,165
1558038980,191
1558038982,170
1558038984,210
1558038986,167
1558038988,169
1558038990,219
1558038992,177
1558039000,193
1558039006,162
1558039008,193
1558039010,194
1558039012,164
1558039014,203
1558039016,178
1558039018,184
1558039020,180
1558039022,177
1558039024,207
1558039026,193
1558039028,188
1558039030,163
1558039032,189
1558039034,203
1558039036,164
1558039038,162
1558039040,182
1558039042,172
1558039044,202
1558039046,172
1558039048,181
1558039050,164
1558039052,168
1558039054,216
1558039056,191
1558039058,166
1558039060,179
1558039062,203
1558039064,206
1558039066,174
1558039068,209
1558039070,179
1558039072,211
1558039074,195
1558039076,213
1558039078,190
1558039080,191
1558039082,206
1558039084,166
1558039086,184
1558039088,170
1558039090,187
1558039092,162
1558039094,181
1558039096,179
1558039098,183
1558039100,175
1558039102,188
1558039104,167
1558039106,195
1558039108,187
1558039110,206
1558039112,213
1558039114,165
1558039116,169
1558039118,182
1558039120,186
1558039122,199
1558039124,176
1558039126,162
1558039128,163
1558039130,186
1558039132,193
1558039134,165
1558039136,180
1558039138,179
1558039140,165
1558039142,194
1558039144,177
1558039146,174
1558039148,164
1558039150,174
1558039152,179
1558039154,194
1558039156,174
1558039158,181
1558039160,174
1558039162,185
1558039164,197
1558039166,176
1558039168,161
1558039170,164
1558039172,176
1558039174,169
1558039176,207
1558039178,188
1558039180,186
1558039182,202
1558039184,203
1558039186,211
1558039188,187
1558039190,200
1558039192,171
1558039194,179
1558039196,193
1558039198,188
1558039200,186
1558039202,167
1558039204,184
1558039206,164
1558039208,169
1558039210,176
1558039212,187
1558039214,188
1558039216,186
1558039218,165
1558039220,169
1558039222,172
1558039224,214
1558039226,193
1558039228,202
1558039230,204
1558039232,189
1558039234,179
1558039236,183
1558039238,162
1558039240,198
1558039242,198
1558039244,184
1558039246,161
1558039248,193
1558039250,186
1558039252,182
1558039254,163
1558039256,168
1558039258,185
1558039260,195
1558039262,161
1558039264,184
1558039266,187
1558039268,196
1558039270,182
1558039272,167
1558039274,202
1558039276,173
1558039278,170
1558039280,192
1558039282,208
1558039284,186
1558039286,167
1558039288,187
1558039290,161
1558039292,196
1558039294,166
1558039296,189
1558039298,204
1558039300,181
1558039302,201
1558039304,172
1558039306,191
1558039308,189
1558039310,186
1558039312,171
1558039314,179
1558039316,194
1558039318,174
1558039320,195
1558039322,166
1558039324,170
1558039326,170
1558039328,193
1558039330,162
1558039332,179
1558039334,184
1558039336,195
1558039338,174
1558039340,205
1558039342,174
1558039344,195
1558039346,173
1558039348,164
1558039350,168
1558039352,173
1558039354,162
1558039356,178
1558039358,192
1558039360,185
1558039362,188
1558039364,159
1558039366,192
1558039368,199
1558039370,181
1558039372,193
1558039374,200
1558039376,168
1558039378,196
1558039380,166
1558039382,182
1558039384,168
1558039386,203
1558039388,186
1558039390,210
1558039392,209
1558039394,164
1558039396,164
1558039398,213
1558039400,169
1558039402,168
1558039404,193
1558039406,192
1558039408,189
1558039410,168
1558039412,163
1558039414,187
1558039416,182
1558039418,193
1558039420,198
1558039422,202
1558039424,182
1558039426,175
1558039428,161
1558039430,194
1558039432,160
1558039434,208
1558039436,201
1558039438,170
1558039440,176
1558039442,175
1558039444,163
1558039446,164
1558039448,181
1558039450,167
1558039452,196
1558039454,198
1558039456,169
1558039458,201
1558039460,172
1558039462,169
1558039464,179
1558039466,192
1558039468,165
1558039470,196
1558039472,193
1558039474,209
1558039476,178
1558039478,170
1558039480,161
1558039482,182
1558039484,201
1558039486,207
1558039488,180
1558039490,189
1558039492,165
1558039494,196
1558039496,174
1558039498,182
1558039500,192
1558039502,181
1558039504,187
1558039506,181
1558039508,195
1558039510,216
1558039512,174
1558039514,186
1558039516,163
1558039518,178
1558039520,183
1558039522,181
1558039524,189
1558039526,164
1558039528,178
1558039530,182
1558039532,169
1558039534,198
1558039536,178
1558039538,205
1558039558,203
1558039560,217
1558039562,184
1558039564,195
1558039566,179
1558039568,194
1558039570,194
1558039572,188
1558039574,164
1558039576,164
1558039578,190
1558039580,182
1558039582,191
1558039584,188
1558039586,160
1558039588,185
1558039590,206
1558039592,176
1558039594,176
1558039596,168
1558039598,195
1558039600,201
1558039602,190
1558039604,164
1558039606,183
1558039608,214
1558039610,174
1558039612,164
1558039614,160
1558039616,218
1558039618,180
1558039620,183
1558039622,198
1558039624,204
1558039626,197
1558039628,203
1558039630,180
1558039632,173
1558039634,179
1558039636,196
1558039638,174
1558039640,196
1558039642,172
1558039644,167
1558039646,173
1558039648,170
1558039650,197
1558039652,168
1558039654,189
1558039656,177
1558039658,189
1558039660,178
1558039662,165
1558039664,167
1558039666,166
1558039668,186
1558039670,169
1558039672,205
1558039674,163
1558039676,162
1558039678,163
1558039680,188
1558039682,201
1558039684,164
1558039686,160
1558039688,173
1558039690,195
1558039692,173
1558039694,170
1558039696,188
1558039698,179
1558039708,182
1558039710,219
1558039712,206
1558039714,195
1558039716,172
1558039718,164
1558039720,197
1558039722,166
1558039724,219
1558039726,189
1558039728,182
1558039730,162
1558039732,178
1558039734,174
1558039736,199
1558039738,175
1558039740,163
1558039742,170
1558039744,171
1558039746,178
1558039748,217
1558039750,170
1558039752,168
1558039754,177
1558039756,172
1558039758,163
1558039760,176
1558039762,197
1558039764,188
1558039766,192
1558039768,189
1558039770,160
1558039772,190
1558039774,167
1558039776,175
1558039778,169
1558039780,175
1558039782,186
1558039784,174
1558039786,216
1558039788,181
1558039790,173
1558039792,192
1558039794,190
1558039796,194
1558039798,166
1558039800,200
1558039802,161
1558039804,181
1558039806,181
1558039808,207
1558039810,182
1558039812,180
1558039814,190
1558039816,191
1558039818,194
1558039820,175
1558039822,190
1558039824,164
1558039826,178
1558039828,172
1558039830,188
1558039832,164
1558039834,165
1558039836,184
1558039838,183
1558039840,173
1558039842,177
1558039844,168
1558039846,173
1558039848,191
1558039850,207
1558039852,180
1558039854,167
1558039856,189
1558039858,174
1558039860,192
1558039862,195
1558039864,177
1558039866,164
1558039868,166
1558039870,208
1558039872,171
1558039874,166
1558039876,174
1558039878,180
1558039880,165
1558039882,187
1558039884,172
1558039886,203
1558039888,167
1558039890,186
1558039892,191
1558039894,201
1558039896,170
1558039898,177
1558039900,186
1558039902,181
1558039904,159
1558039906,162
1558039908,182
1558039910,188
1558039912,185
1558039914,185
1558039916,174
1558039918,179
1558039920,162
1558039922,211
1558039924,161
1558039926,178
1558039928,194
1558039946,176
1558039948,186
1558039962,214
1558039964,170
1558039966,191
1558039968,177
1558039970,165
1558039972,166
1558039974,208
1558039976,160
1558039978,180
1558039980,199
1558039982,168
1558039984,180
1558039986,161
1558039988,173
1558039990,165
1558039992,182
1558039994,164
1558039996,175
1558039998,163
1558040000,168
1558040002,190
1558040004,208
1558040006,198
1558040008,164
1558040010,171
1558040012,168
1558040014,207
1558040016,163
1558040018,161
1558040020,190
1558040022,207
1558040024,185
1558040026,164
1558040028,178
1558040030,168
1558040032,200
1558040034,187
1558040036,165
1558040038,173
1558040040,189
1558040042,199
1558040044,195
1558040046,181
1558040048,217
1558040050,173
1558040052,192
1558040054,176
1558040056,185
1558040058,172
1558040060,186
1558040062,161
1558040064,170
1558040066,186
1558040068,181
1558040070,188
1558040072,180
1558040074,188
1558040076,200
1558040078,216
1558040080,161
1558040082,217
1558040084,172
1558040086,181
1558040088,165
1558040090,203
1558040092,189
1558040094,174
1558040096,170
1558040098,197
1558040100,190
1558040102,167
1558040104,172
1558040106,198
1558040108,178
1558040110,166
1558040112,184
1558040114,175
1558040116,165
1558040118,175
1558040120,172
1558040122,196
1558040124,196
1558040126,180
1558040128,181
1558040130,201
1558040132,168
1558040134,211
1558040136,161
1558040138,172
1558040140,163
1558040142,162
1558040144,208
1558040146,191
1558040148,192
1558040150,178
1558040152,218
1558040154,161
1558040156,162
1558040158,195
1558040160,171
1558040162,161
1558040164,170
1558040166,198
1558040168,198
1558040170,203
1558040172,182
1558040174,187
1558040176,207
1558040178,184
1558040180,198
1558040182,215
1558040184,168
1558040186,176
1558040188,180
1558040190,165
1558040192,173
1558040194,194
1558040196,167
1558040198,202
1558040200,203
1558040202,188
1558040204,163
1558040206,177
1558040208,176
1558040210,186
1558040212,170
1558040214,163
1558040216,203
1558040218,200
1558040220,179
1558040222,193
1558040224,162
1558040226,179
1558040228,175
1558040230,191
1558040232,163
1558040234,185
1558040236,210
1558040238,174
1558040240,162
1558040242,170
1558040244,167
1558040246,173
1558040248,187
1558040250,170
1558040252,160
1558040254,182
1558040256,171
1558040258,200
1558040260,186
1558040262,206
1558040264,194
1558040266,163
1558040268,206
1558040270,195
1558040272,168
1558040274,191
1558040276,198
1558040278,192
1558040280,173
1558040282,205
1558040284,185
1558040286,201
1558040288,174
1558040290,184
1558040292,184
1558040294,192
1558040296,172
1558040298,160
1558040300,164
1558040302,180
1558040304,167
1558040306,162
1558040308,186
1558040310,211
1558040312,166
1558040314,207
1558040316,164
1558040318,193
1558040320,204
1558040322,206
1558040324,197
1558040326,163
1558040328,165
1558040330,193
1558040332,205
1558040334,192
1558040336,170
1558040338,196
1558040340,215
1558040342,168
1558040344,187
1558040346,175
1558040348,177
1558040350,185
1558040352,203
1558040354,187
1558040356,185
1558040358,174
1558040360,161
1558040362,165
1558040364,169
1558040366,195
1558040368,206
1558040370,162
1558040372,184
1558040374,200
1558040376,181
1558040378,209
1558040380,184
1558040382,165
1558040384,222
1558040386,189
1558040388,188
1558040390,201
1558040392,201
1558040394,180
1558040396,207
1558040398,161
1558040400,173
1558040402,181
1558040404,218
1558040406,171
1558040408,185
1558040410,170
1558040412,178
1558040414,184
1558040416,168
1558040418,192
1558040420,179
1558040422,201
1558040424,183
1558040426,170
1558040434,204
1558040450,161
1558040468,178
1558040470,169
1558040472,219
1558040474,164
1558040476,191
1558040478,189
1558040480,192
1558040482,162
1558040484,164
1558040486,205
1558040488,202
1558040490,188
1558040492,182
1558040494,173
1558040496,197
1558040498,206
1558040500,190
1558040502,194
1558040504,164
1558040506,177
1558040508,179
1558040510,164
1558040512,220
1558040550,174
1558040554,179
1558040556,166
1558040558,214
1558040560,187
1558040562,202
1558040564,167
1558040566,165
1558040568,184
1558040570,178
1558040572,165
1558040574,162
1558040576,194
1558040578,211
1558040580,169
1558040582,164
1558040584,213
1558040586,204
1558040588,168
1558040590,181
1558040592,183
1558040594,189
1558040596,166
1558040598,187
1558040600,172
1558040602,173
1558040604,176
1558040606,181
1558040608,167
1558040610,214
1558040612,166
1558040614,204
1558040616,172
1558040618,194
1558040620,198
1558040622,222
1558040624,162
1558040626,180
1558040628,195
1558040630,172
1558040632,170
1558040634,163
1558040636,170
1558040638,175
1558040640,165
1558040642,164
1558040644,184
1558040646,169
1558040648,169
1558040650,183
1558040652,175
1558040654,206
1558040656,171
1558040658,195
1558040660,167
1558040662,213
1558040664,160
1558040666,186
1558040668,184
1558040670,197
1558040672,207
1558040674,168
1558040676,169
1558040678,191
1558040680,168
1558040682,198
1558040684,174
1558040686,175
1558040688,201
1558040690,162
1558040692,189
1558040694,193
1558040696,195
1558040698,170
1558040700,166
1558040702,182
1558040704,181
1558040706,183
1558040708,167
1558040710,164
1558040712,196
1558040714,176
1558040716,162
1558040718,179
1558040720,180
1558040722,191
1558040724,177
1558040726,169
1558040728,179
1558040730,164
1558040732,169
1558040734,194
1558040736,209
1558040738,193
1558040740,175
1558040742,182
1558040744,189
1558040746,191
1558040748,183
1558040750,200
1558040752,159
1558040754,165
1558040756,181
1558040758,205
1558040760,168
1558040762,198
1558040764,170
1558040766,202
1558040768,162
1558040770,170
1558040772,171
1558040774,185
1558040776,165
1558040778,169
1558040780,183
1558040782,175
1558040784,196
1558040786,171
1558040788,190
1558040790,190
1558040792,178
1558040794,169
1558040796,174
1558040802,207
1558040804,195
1558040806,163
1558040808,174
1558040810,205
1558040812,174
