timestamp,value
1558039402,45.84
1558039404,45.99
1558039406,46.19
1558039408,46.34
1558039410,46.49
1558039412,46.65
1558039414,46.79
1558039416,46.96
1558039418,47.14
1558039420,47.31
1558039422,47.52
1558039424,47.66
1558039426,47.8
1558039428,47.96
1558039430,48.24
1558039432,48.37
1558039434,48.53
1558039436,48.66
1558039438,48.86
1558039440,49.01
1558039442,49.16
1558039444,49.32
1558039446,49.47
1558039448,49.63
1558039450,49.84
1558039452,49.99
1558039454,50.13
1558039456,50.29
1558039458,50.45
1558039460,50.6
1558039462,50.75
1558039464,50.9
1558039466,51.09
1558039468,51.24
1558039470,51.39
1558039472,51.56
1558039474,51.71
1558039476,51.88
1558039478,52.04
1558039480,52.2
1558039482,52.39
1558039484,52.53
1558039486,52.68
1558039488,52.84
1558039490,53.04
1558039492,53.24
1558039494,53.39
1558039496,53.56
1558039498,53.72
1558039500,53.88
1558039502,54.03
1558039504,54.18
1558039506,54.34
1558039508,54.53
1558039510,54.72
1558039512,54.87
1558039514,55.01
1558039516,55.15
1558039518,55.31
1558039520,55.51
1558039522,55.67
1558039524,55.83
1558039526,55.98
1558039528,56.13
1558039530,56.29
1558039532,56.43
1558039534,56.58
1558039536,56.75
1558039538,56.92
1558039558,57.54
1558039560,57.7
1558039562,57.83
1558039564,58.02
1558039566,58.17
1558039568,58.35
1558039570,58.49
1558039572,58.63
1558039574,58.81
1558039576,58.95
1558039578,59.1
1558039580,59.31
1558039582,59.45
1558039584,59.61
1558039586,59.77
1558039588,59.91
1558039590,60.13
1558039592,60.27
1558039594,60.41
1558039596,60.56
1558039598,60.7
1558039600,60.88
1558039602,61.03
1558039604,61.18
1558039606,61.35
1558039608,61.51
1558039610,61.72
1558039612,61.92
1558039614,62.06
1558039616,62.21
1558039618,62.39
1558039620,62.54
1558039622,62.7
1558039624,62.85
1558039626,63.01
1558039628,63.17
1558039630,63.33
1558039632,63.47
1558039634,63.64
1558039636,63.79
1558039638,63.96
1558039640,64.12
1558039642,64.26
1558039644,64.42
1558039646,64.57
1558039648,64.71
1558039650,64.89
1558039652,65.03
1558039654,65.23
1558039656,65.38
1558039658,65.51
1558039660,65.7
1558039662,65.84
1558039664,65.98
1558039666,66.16
1558039668,66.32
1558039670,66.55
1558039672,66.69
1558039674,66.86
1558039676,67
1558039678,67.14
1558039680,67.29
1558039682,67.45
1558039684,67.58
1558039686,67.76
1558039688,67.92
1558039690,68.08
1558039692,68.24
1558039694,68.38
1558039696,68.57
1558039698,68.72
1558039700,68.88
1558039706,69.13
1558039708,69.3
1558039710,69.5
1558039712,69.66
1558039714,69.8
1558039716,69.95
1558039718,70.11
1558039720,70.27
1558039722,70.4
1558039724,70.57
1558039726,70.73
1558039728,70.88
1558039730,71.14
1558039732,71.27
1558039734,71.43
1558039736,71.59
1558039738,71.73
1558039740,71.92
1558039742,72.07
1558039744,72.21
1558039746,72.35
1558039748,72.5
1558039750,72.68
1558039752,72.83
1558039754,72.98
1558039756,73.14
1558039758,73.29
1558039760,73.44
1558039762,73.61
1558039764,73.74
1558039766,73.92
1558039768,74.07
1558039770,74.23
1558039772,74.42
1558039774,74.55
1558039776,74.69
1558039778,74.89
1558039780,75.04
1558039782,75.2
1558039784,75.33
1558039786,75.48
1558039788,75.63
1558039790,75.86
1558039792,76
1558039794,76.18
1558039796,76.32
1558039800,76.65
1558039802,76.79
1558039804,76.98
1558039806,77.14
1558039808,77.29
1558039810,77.45
1558039812,77.6
1558039814,77.74
1558039816,77.93
1558039818,78.06
1558039820,78.24
1558039822,78.38
1558039824,78.52
1558039826,78.67
1558039828,78.82
1558039830,78.98
1558039832,79.15
1558039834,79.28
1558039836,79.45
1558039838,79.6
1558039840,79.77
1558039842,79.93
1558039844,80.07
1558039846,80.22
1558039848,80.42
1558039850,80.6
1558039852,80.76
1558039854,80.91
1558039856,81.05
1558039858,81.22
1558039860,81.36
1558039862,81.5
1558039864,81.69
1558039866,81.82
1558039868,81.98
1558039870,82.13
1558039872,82.28
1558039874,82.45
1558039876,82.6
1558039878,82.74
1558039880,82.93
1558039882,83.07
1558039884,83.23
1558039886,83.4
1558039888,83.54
1558039890,83.74
1558039892,83.88
1558039894,84.05
1558039896,84.2
1558039898,84.35
1558039900,84.5
1558039902,84.66
1558039904,84.8
1558039906,85
1558039908,85.15
1558039910,85.34
1558039912,85.5
1558039914,85.64
1558039916,85.8
1558039918,85.95
1558039920,86.1
1558039922,86.28
1558039924,86.45
1558039926,86.62
1558039928,86.69
1558039936,87.16
1558039938,87.32
1558039942,87.46
1558039948,87.66
1558039960,88.17
1558039962,88.31
1558039964,88.45
