timestamp,value
1558041380,2589515797
1558041382,2589516933
1558041384,2589517860
1558041386,2589518894
1558041388,2589519842
1558041390,2589520822
1558041392,2589521724
1558041394,2589522612
1558041396,2589523600
1558041398,2589524505
1558041400,2589525478
1558041402,2589526485
1558041404,2589527421
1558041406,2589528397
1558041408,2589529347
1558041410,2589530250
1558041412,2589531103
1558041414,2589532185
1558041416,2589532995
1558041418,2589533959
1558041420,2589534872
1558041422,2589535764
1558041424,2589536746
1558041426,2589537712
1558041428,2589538529
1558041430,2589539428
1558041432,2589540363
1558041434,2589541279
1558041436,2589542217
1558041438,2589543151
1558041440,2589543998
1558041442,2589544908
1558041444,2589545882
1558041446,2589546791
1558041448,2589547740
1558041450,2589548644
1558041452,2589549456
1558041454,2589550535
1558041456,2589551365
1558041458,2589552256
1558041460,2589553148
1558041462,2589554050
1558041464,2589554989
1558041466,2589555879
1558041468,2589556855
1558041470,2589557716
1558041472,2589558650
1558041474,2589559559
1558041476,2589560426
1558041478,2589561384
1558041480,2589562405
1558041482,2589563217
1558041484,2589564134
1558041486,2589565001
1558041488,2589565878
1558041490,2589566794
1558041492,2589567729
1558041494,2589568631
1558041496,2589569501
1558041498,2589570433
1558041500,2589571294
1558041502,2589572257
1558041504,2589573103
1558041506,2589574033
1558041508,2589574911
1558041510,2589575758
1558041512,2589576778
1558041514,2589577721
1558041516,2589578638
1558041518,2589579479
1558041520,2589580352
1558041522,2589581336
1558041524,2589582174
1558041526,2589583143
1558041528,2589584164
1558041530,2589585014
1558041532,2589585933
1558041534,2589586924
1558041536,2589587842
1558041538,2589588776
1558041540,2589589774
1558041542,2589590639
1558041544,2589591485
1558041546,2589592501
1558041548,2589593322
1558041550,2589594257
1558041552,2589595124
1558041554,2589596125
1558041556,2589597015
1558041558,2589597861
1558041560,2589598790
1558041562,2589599778
1558041564,2589600790
1558041566,2589601709
1558041568,2589602590
1558041570,2589603456
1558041572,2589604365
1558041574,2589605326
1558041576,2589606286
1558041578,2589607209
1558041580,2589608121
1558041582,2589609050
1558041584,2589609888
1558041586,2589610819
1558041588,2589611691
1558041590,2589612693
1558041592,2589613496
1558041594,2589614500
1558041596,2589615379
1558041598,2589616246
1558041600,2589617160
1558041602,2589618036
1558041604,2589619107
1558041606,2589619930
1558041608,2589620837
1558041610,2589621744
1558041612,2589622730
1558041614,2589623638
1558041616,2589624628
1558041618,2589625512
1558041620,2589626505
1558041622,2589627341
1558041624,2589628324
1558041626,2589629238
1558041628,2589630158
1558041630,2589631046
1558041632,2589631981
1558041634,2589632900
1558041636,2589633753
1558041638,2589634663
1558041640,2589635580
1558041642,2589636476
1558041644,2589637383
1558041646,2589638308
1558041648,2589639230
1558041650,2589640065
1558041652,2589641014
1558041654,2589641932
1558041656,2589642764
1558041658,2589643661
1558041660,2589644612
1558041662,2589645473
1558041664,2589646370
1558041666,2589647325
1558041668,2589648198
1558041670,2589649120
1558041672,2589650049
1558041674,2589651067
1558041676,2589651982
1558041678,2589652788
1558041680,2589653709
1558041682,2589654598
1558041684,2589655548
1558041686,2589656477
1558041688,2589657315
1558041690,2589658195
1558041692,2589659120
1558041694,2589660028
1558041696,2589660911
1558041698,2589661795
1558041700,2589662751
1558041702,2589663633
1558041704,2589664538
1558041706,2589665487
1558041708,2589666436
1558041710,2589667289
1558041712,2589668178
1558041714,2589669257
1558041716,2589670069
1558041718,2589670950
1558041720,2589671876
1558041722,2589672755
1558041724,2589673677
1558041726,2589674632
1558041728,2589675607
1558041730,2589676477
1558041732,2589677376
1558041734,2589678268
1558041736,2589679214
1558041738,2589680076
1558041740,2589681008
1558041742,2589681952
1558041744,2589682820
1558041746,2589683735
1558041748,2589684596
1558041750,2589685502
1558041752,2589686454
1558041754,2589687391
1558041756,2589688280
1558041758,2589689167
1558041760,2589690057
1558041762,2589690951
1558041764,2589691932
1558041766,2589692863
1558041768,2589693728
1558041770,2589694635
1558041772,2589695583
1558041774,2589696527
1558041776,2589697466
1558041778,2589698297
1558041780,2589699239
1558041782,2589700138
1558041784,2589701047
1558041786,2589701941
1558041788,2589702862
1558041790,2589703739
1558041792,2589704619
1558041794,2589705549
1558041796,2589706466
1558041798,2589707388
1558041800,2589708291
1558041802,2589709206
1558041804,2589710094
1558041806,2589710987
1558041808,2589711923
1558041810,2589712759
1558041812,2589713646
1558041814,2589714569
1558041816,2589715515
1558041818,2589716387
1558041820,2589717368
1558041822,2589718287
1558041824,2589719150
1558041826,2589720050
1558041828,2589720921
1558041830,2589721870
1558041832,2589722761
1558041834,2589723708
1558041836,2589724599
1558041838,2589725510
1558041840,2589726402
1558041842,2589727391
1558041844,2589728239
1558041846,2589729175
1558041848,2589729998
1558041850,2589730911
1558041852,2589731925
1558041854,2589732809
1558041856,2589733722
1558041858,2589734577
1558041860,2589735482
1558041862,2589736363
1558041864,2589737275
1558041866,2589738169
1558041868,2589739057
1558041870,2589739991
1558041872,2589740844
1558041874,2589741827
1558041876,2589742762
1558041878,2589743615
1558041880,2589744597
1558041882,2589745431
1558041884,2589746372
1558041886,2589747236
1558041888,2589748197
1558041890,2589749111
1558041892,2589750025
1558041894,2589750977
1558041896,2589751900
1558041898,2589752758
1558041900,2589753633
1558041902,2589754625
1558041904,2589755516
1558041906,2589756369
1558041908,2589757325
1558041910,2589758177
1558041912,2589759149
1558041914,2589760032
1558041916,2589760939
1558041918,2589761865
1558041920,2589762813
1558041922,2589763692
1558041924,2589764635
1558041926,2589765573
1558041928,2589766534
1558041930,2589767474
1558041932,2589768340
1558041934,2589769224
1558041936,2589770141
1558041938,2589771058
1558041940,2589771980
1558041942,2589772878
1558041944,2589773726
1558041946,2589774697
1558041948,2589775544
1558041950,2589776504
1558041952,2589777455
1558041954,2589778430
1558041956,2589779344
1558041958,2589780212
1558041960,2589781275
1558041962,2589782138
1558041964,2589783052
1558041966,2589783999
1558041968,2589784830
1558041970,2589785836
1558041972,2589786683
1558041974,2589787597
1558041976,2589788583
1558041978,2589789469
1558041980,2589790411
1558041982,2589791336
1558041984,2589792301
1558041986,2589793157
1558041988,2589794180
1558041990,2589795051
1558041992,2589795971
1558041994,2589797001
1558041996,2589797795
1558041998,2589798734
1558042000,2589799804
1558042002,2589800639
1558042004,2589801600
1558042006,2589802561
1558042008,2589803399
1558042010,2589804378
1558042012,2589805234
1558042014,2589806204
1558042016,2589807024
1558042018,2589807945
1558042020,2589808924
1558042022,2589809862
1558042024,2589810699
1558042026,2589811607
1558042028,2589812575
1558042030,2589813457
1558042032,2589814396
1558042034,2589815341
1558042036,2589816284
1558042038,2589817151
1558042040,2589818002
1558042042,2589818935
1558042044,2589819794
1558042046,2589820695
1558042048,2589821624
1558042050,2589822538
1558042052,2589823406
1558042054,2589824465
1558042056,2589825338
1558042058,2589826284
1558042060,2589827226
1558042062,2589828167
1558042064,2589829105
1558042066,2589830000
1558042068,2589830899
1558042070,2589831848
1558042072,2589832796
1558042074,2589833726
1558042076,2589834636
1558042078,2589835526
1558042080,2589836394
1558042082,2589837349
1558042084,2589838274
1558042086,2589839212
1558042088,2589840122
1558042090,2589841033
1558042092,2589841985
1558042094,2589842984
1558042096,2589843869
1558042098,2589844741
1558042100,2589845646
1558042102,2589846596
1558042104,2589847506
1558042106,2589848511
1558042108,2589849443
1558042110,2589850376
1558042112,2589851384
1558042114,2589852306
1558042116,2589853210
1558042118,2589854177
1558042120,2589855092
1558042122,2589856009
1558042124,2589856864
1558042126,2589857791
1558042128,2589858666
1558042130,2589859603
1558042132,2589860527
1558042134,2589861386
1558042136,2589862271
1558042138,2589863171
1558042140,2589864148
1558042142,2589865066
1558042144,2589865965
1558042146,2589866871
1558042148,2589867863
1558042150,2589868819
1558042152,2589869708
1558042154,2589870715
1558042156,2589871637
1558042158,2589872474
1558042160,2589873490
1558042162,2589874343
1558042164,2589875322
1558042166,2589876269
1558042168,2589877130
1558042170,2589878088
1558042172,2589879018
1558042174,2589879989
1558042176,2589880863
1558042178,2589881760
1558042180,2589882701
1558042182,2589883673
1558042184,2589884552
1558042186,2589885464
1558042188,2589886373
1558042190,2589887380
1558042192,2589888418
1558042194,2589889334
1558042196,2589890238
1558042198,2589891123
1558042200,2589892081
1558042202,2589893050
1558042204,2589893964
1558042206,2589894896
1558042208,2589895825
1558042210,2589896675
1558042212,2589897636
