timestamp,value
1558041380,0.04
1558041382,0.09
1558041384,0.11
1558041386,0.12
1558041388,0.14
1558041390,0.16
1558041392,0.17
1558041394,0.19
1558041396,0.21
1558041398,0.23
1558041400,0.25
1558041402,0.26
1558041404,0.28
1558041406,0.29
1558041408,0.31
1558041410,0.33
1558041412,0.34
1558041414,0.36
1558041416,0.39
1558041418,0.4
1558041420,0.42
1558041422,0.43
1558041424,0.45
1558041426,0.46
1558041428,0.48
1558041430,0.5
1558041432,0.52
1558041434,0.53
1558041436,0.54
1558041438,0.57
1558041440,0.58
1558041442,0.6
1558041444,0.61
1558041446,0.63
1558041448,0.65
1558041450,0.66
1558041452,0.68
1558041454,0.69
1558041456,0.72
1558041458,0.73
1558041460,0.75
1558041462,0.76
1558041464,0.78
1558041466,0.8
1558041468,0.81
1558041470,0.83
1558041472,0.85
1558041474,0.86
1558041476,0.88
1558041478,0.9
1558041480,0.92
1558041482,0.93
1558041484,0.94
1558041486,0.97
1558041488,0.98
1558041490,1
1558041492,1.01
1558041494,1.03
1558041496,1.05
1558041498,1.07
1558041500,1.08
1558041502,1.1
1558041504,1.11
1558041506,1.12
1558041508,1.14
1558041510,1.16
1558041512,1.18
1558041514,1.2
1558041516,1.22
1558041518,1.23
1558041520,1.24
1558041522,1.26
1558041524,1.28
1558041526,1.29
1558041528,1.31
1558041530,1.33
1558041532,1.35
1558041534,1.36
1558041536,1.38
1558041538,1.4
1558041540,1.41
1558041542,1.44
1558041544,1.45
1558041546,1.46
1558041548,1.48
1558041550,1.49
1558041552,1.51
1558041554,1.53
1558041556,1.55
1558041558,1.56
1558041560,1.58
1558041562,1.59
1558041564,1.61
1558041566,1.63
1558041568,1.65
1558041570,1.66
1558041572,1.68
1558041574,1.69
1558041576,1.71
1558041578,1.74
1558041580,1.74
1558041582,1.76
1558041584,1.78
1558041586,1.79
1558041588,1.82
1558041590,1.83
1558041592,1.84
1558041594,1.87
1558041596,1.88
1558041598,1.9
1558041600,1.92
1558041602,1.93
1558041604,1.95
1558041606,1.96
1558041608,1.98
1558041610,1.99
1558041612,2.02
1558041614,2.03
1558041616,2.05
1558041618,2.06
1558041620,2.08
1558041622,2.1
1558041624,2.11
1558041626,2.13
1558041628,2.15
1558041630,2.16
1558041632,2.18
1558041634,2.19
1558041636,2.21
1558041638,2.23
1558041640,2.25
1558041642,2.27
1558041644,2.28
1558041646,2.3
1558041648,2.31
1558041650,2.33
1558041652,2.34
1558041654,2.36
1558041656,2.38
1558041658,2.4
1558041660,2.42
1558041662,2.43
1558041664,2.44
1558041666,2.46
1558041668,2.47
1558041670,2.5
1558041672,2.51
1558041674,2.53
1558041676,2.54
1558041678,2.56
1558041680,2.58
1558041682,2.6
1558041684,2.61
1558041686,2.62
1558041688,2.64
1558041690,2.66
1558041692,2.67
1558041694,2.69
1558041696,2.7
1558041698,2.73
1558041700,2.74
1558041702,2.76
1558041704,2.78
1558041706,2.79
1558041708,2.81
1558041710,2.83
1558041712,2.84
1558041714,2.86
1558041716,2.88
1558041718,2.89
1558041720,2.91
1558041722,2.93
1558041724,2.94
1558041726,2.96
1558041728,2.97
1558041730,2.99
1558041732,3.01
1558041734,3.03
1558041736,3.04
1558041738,3.05
1558041740,3.07
1558041742,3.09
1558041744,3.11
1558041746,3.12
1558041748,3.14
1558041750,3.16
1558041752,3.17
1558041754,3.19
1558041756,3.2
1558041758,3.22
1558041760,3.24
1558041762,3.25
1558041764,3.28
1558041766,3.29
1558041768,3.3
1558041770,3.32
1558041772,3.34
1558041774,3.36
1558041776,3.37
1558041778,3.39
1558041780,3.41
1558041782,3.42
1558041784,3.44
1558041786,3.45
1558041788,3.47
1558041790,3.48
1558041792,3.5
1558041794,3.52
1558041796,3.54
1558041798,3.56
1558041800,3.57
1558041802,3.58
1558041804,3.6
1558041806,3.62
1558041808,3.63
1558041810,3.65
1558041812,3.67
1558041814,3.69
1558041816,3.7
1558041818,3.71
1558041820,3.73
1558041822,3.75
1558041824,3.77
1558041826,3.78
1558041828,3.8
1558041830,3.82
1558041832,3.84
1558041834,3.85
1558041836,3.87
1558041838,3.88
1558041840,3.9
1558041842,3.91
1558041844,3.93
1558041846,3.95
1558041848,3.96
1558041850,3.98
1558041852,4
1558041854,4.01
1558041856,4.03
1558041858,4.05
1558041860,4.07
1558041862,4.09
1558041864,4.1
1558041866,4.12
1558041868,4.14
1558041870,4.16
1558041872,4.17
1558041874,4.19
1558041876,4.2
1558041878,4.21
1558041880,4.24
1558041882,4.24
1558041884,4.27
1558041886,4.28
1558041888,4.3
1558041890,4.32
1558041892,4.33
1558041894,4.35
1558041896,4.37
1558041898,4.38
1558041900,4.4
1558041902,4.41
1558041904,4.43
1558041906,4.45
1558041908,4.47
1558041910,4.49
1558041912,4.5
1558041914,4.52
1558041916,4.53
1558041918,4.55
1558041920,4.57
1558041922,4.59
1558041924,4.6
1558041926,4.61
1558041928,4.64
1558041930,4.65
1558041932,4.67
1558041934,4.68
1558041936,4.7
1558041938,4.72
1558041940,4.74
1558041942,4.75
1558041944,4.77
1558041946,4.79
1558041948,4.8
1558041950,4.82
1558041952,4.83
1558041954,4.85
1558041956,4.87
1558041958,4.88
1558041960,4.9
1558041962,4.92
1558041964,4.94
1558041966,4.95
1558041968,4.97
1558041970,4.98
1558041972,5.01
1558041974,5.02
1558041976,5.04
1558041978,5.05
1558041980,5.07
1558041982,5.08
1558041984,5.1
1558041986,5.12
1558041988,5.14
1558041990,5.15
1558041992,5.17
1558041994,5.18
1558041996,5.21
1558041998,5.22
1558042000,5.23
1558042002,5.26
1558042004,5.27
1558042006,5.28
1558042008,5.3
1558042010,5.32
1558042012,5.34
1558042014,5.36
1558042016,5.37
1558042018,5.39
1558042020,5.41
1558042022,5.43
1558042024,5.44
1558042026,5.45
1558042028,5.48
1558042030,5.49
1558042032,5.51
1558042034,5.52
1558042036,5.54
1558042038,5.56
1558042040,5.58
1558042042,5.6
1558042044,5.61
1558042046,5.62
1558042048,5.64
1558042050,5.65
1558042052,5.68
1558042054,5.69
1558042056,5.7
1558042058,5.73
1558042060,5.74
1558042062,5.75
1558042064,5.78
1558042066,5.79
1558042068,5.8
1558042070,5.82
1558042072,5.84
1558042074,5.86
1558042076,5.87
1558042078,5.89
1558042080,5.91
1558042082,5.93
1558042084,5.94
1558042086,5.96
1558042088,5.97
1558042090,5.99
1558042092,6.01
1558042094,6.03
1558042096,6.05
1558042098,6.06
1558042100,6.07
1558042102,6.1
1558042104,6.12
1558042106,6.12
1558042108,6.14
1558042110,6.16
1558042112,6.18
1558042114,6.2
1558042116,6.21
1558042118,6.23
1558042120,6.25
1558042122,6.26
1558042124,6.28
1558042126,6.3
1558042128,6.31
1558042130,6.33
1558042132,6.34
1558042134,6.36
1558042136,6.38
1558042138,6.4
1558042140,6.41
1558042142,6.43
1558042144,6.45
1558042146,6.46
1558042148,6.48
1558042150,6.5
1558042152,6.51
1558042154,6.53
1558042156,6.55
1558042158,6.57
1558042160,6.58
1558042162,6.59
1558042164,6.62
1558042166,6.63
1558042168,6.65
1558042170,6.67
1558042172,6.68
1558042174,6.7
1558042176,6.71
1558042178,6.74
1558042180,6.75
1558042182,6.76
1558042184,6.78
1558042186,6.8
1558042188,6.81
1558042190,6.83
1558042192,6.85
1558042194,6.86
1558042196,6.88
1558042198,6.9
1558042200,6.91
1558042202,6.93
1558042204,6.94
1558042206,6.96
1558042208,6.98
1558042210,7
1558042212,7.01
1558042214,7.03
1558042216,7.04
1558042218,7.06
1558042220,7.08
1558042222,7.09
1558042224,7.11
1558042226,7.13
1558042228,7.14
1558042230,7.16
1558042232,7.18
1558042234,7.19
1558042236,7.21
1558042238,7.23
1558042240,7.24
1558042242,7.26
1558042244,7.28
1558042246,7.29
1558042248,7.31
1558042250,7.32
1558042252,7.35
1558042254,7.36
1558042256,7.37
1558042258,7.39
1558042260,7.4
1558042262,7.42
1558042264,7.44
1558042266,7.46
1558042268,7.48
1558042270,7.49
1558042272,7.51
1558042274,7.53
1558042276,7.54
1558042278,7.55
1558042280,7.57
1558042282,7.6
1558042284,7.6
1558042286,7.63
1558042288,7.64
1558042290,7.66
1558042292,7.68
1558042294,7.69
1558042296,7.71
1558042298,7.72
1558042300,7.74
1558042302,7.76
1558042304,7.77
1558042306,7.79
1558042308,7.81
1558042310,7.82
1558042312,7.84
1558042314,7.86
1558042316,7.88
1558042318,7.9
1558042320,7.91
1558042322,7.92
1558042324,7.94
1558042326,7.95
1558042328,7.98
1558042330,7.99
1558042332,8.01
1558042334,8.03
1558042336,8.04
1558042338,8.07
1558042340,8.1
1558042342,8.12
1558042344,8.14
1558042346,8.16
1558042348,8.18
1558042350,8.2
1558042352,8.22
1558042354,8.25
1558042356,8.28
1558042358,8.29
1558042360,8.31
1558042362,8.33
1558042364,8.35
1558042366,8.38
1558042368,8.39
1558042370,8.41
1558042372,8.44
1558042374,8.45
1558042376,8.47
1558042378,8.5
1558042380,8.58
1558042382,8.6
1558042384,8.62
1558042386,8.64
1558042388,8.7
1558042390,8.72
1558042392,8.73
1558042394,8.75
1558042396,8.78
1558042398,8.8
1558042400,8.82
1558042402,8.84
1558042404,8.87
1558042406,8.89
1558042408,8.91
1558042410,8.93
1558042412,8.95
1558042414,8.96
1558042416,8.98
1558042418,9.03
1558042420,9.05
1558042422,9.07
1558042424,9.1
1558042426,9.12
1558042428,9.14
1558042430,9.16
1558042432,9.18
1558042434,9.19
1558042436,9.22
1558042438,9.24
1558042440,9.39
1558042442,9.41
1558042444,9.43
1558042446,9.45
1558042448,9.47
1558042450,9.48
1558042452,9.51
1558042454,9.53
1558042456,9.55
1558042458,9.58
1558042460,9.59
1558042462,9.61
1558042464,9.63
1558042466,9.65
1558042468,9.67
1558042470,9.69
1558042472,9.71
1558042474,9.73
1558042476,9.75
1558042478,9.78
1558042480,9.8
1558042482,9.82
1558042484,9.85
1558042486,9.86
1558042488,9.89
1558042490,9.92
1558042492,9.94
1558042494,9.96
1558042496,9.97
1558042498,9.99
1558042500,10.01
1558042502,10.13
1558042504,10.14
1558042506,10.16
1558042508,10.19
1558042510,10.22
1558042512,10.23
1558042514,10.25
1558042516,10.28
1558042518,10.3
1558042520,10.32
1558042522,10.33
1558042524,10.35
1558042526,10.38
1558042528,10.4
1558042530,10.42
1558042532,10.44
1558042534,10.46
1558042536,10.48
1558042538,10.5
1558042540,10.52
1558042542,10.54
1558042544,10.56
1558042546,10.58
1558042548,10.61
1558042550,10.63
1558042552,10.64
1558042554,10.67
1558042556,10.69
1558042558,10.71
1558042560,10.72
1558042562,10.75
1558042564,10.77
1558042566,10.79
1558042568,10.8
1558042570,10.83
1558042572,10.85
1558042574,10.87
1558042576,10.88
1558042578,10.91
1558042580,10.93
1558042582,10.95
1558042584,10.96
1558042586,10.98
1558042588,11.01
1558042590,11.03
1558042592,11.05
1558042594,11.07
1558042596,11.1
1558042598,11.11
1558042600,11.14
1558042602,11.16
1558042604,11.17
1558042606,11.19
1558042608,11.22
1558042610,11.24
1558042612,11.26
1558042614,11.28
1558042616,11.3
1558042618,11.31
1558042620,11.34
1558042622,11.36
1558042624,11.38
1558042626,11.39
1558042628,11.42
1558042630,11.43
1558042632,11.46
1558042634,11.48
1558042636,11.5
1558042638,11.52
1558042640,11.54
1558042642,11.56
1558042644,11.58
1558042646,11.6
1558042648,11.62
1558042650,11.64
1558042652,11.66
1558042654,11.68
1558042656,11.69
1558042658,11.72
