timestamp,value
1558049544,8101888
1558049546,15925248
1558049548,14155776
1558049550,9150464
1558049552,16629760
1558049554,14622720
1558049556,15458304
1558049558,11476992
1558049560,8265728
1558049562,8396800
1558049564,9510912
1558049566,8486912
1558049568,16424960
1558049570,14401536
1558049572,15581184
1558049574,13524992
1558049576,8970240
1558049578,8691712
1558049580,19005440
1558049582,15736832
1558049584,14106624
1558049586,9519104
1558049588,8159232
1558049590,15859712
1558049592,15810560
1558049594,15581184
1558049596,10280960
1558049598,8552448
1558049600,16220160
1558049602,15343616
1558049604,19382272
1558049606,9166848
1558049608,19841024
1558049610,16949248
1558049612,15278080
1558049614,8978432
1558049616,8282112
1558049618,16359424
1558049620,14606336
1558049622,16547840
1558049624,13410304
1558049626,9641984
1558049628,9134080
1558049630,16252928
1558049632,15032320
1558049634,14868480
1558049636,10248192
1558049638,8609792
1558049640,19619840
1558049642,16523264
1558049644,14868480
1558049646,10878976
1558049648,9658368
1558049650,9117696
1558049652,9920512
1558049654,8445952
1558049656,16023552
1558049658,14884864
1558049660,15876096
1558049662,13713408
1558049664,8806400
1558049666,16416768
1558049668,11853824
1558049670,9805824
1558049672,8249344
1558049674,8945664
1558049676,16916480
1558049678,15785984
1558049680,15327232
1558049682,10731520
1558049684,7790592
1558049686,9322496
1558049688,19390464
1558049692,10313728
1558049694,15867904
1558049696,15695872
1558049698,9715712
1558049700,8151040
1558049702,16515072
1558049704,15540224
1558049706,12042240
1558049708,9814016
1558049710,19587072
1558049712,16998400
1558049714,15081472
1558049716,9404416
1558049718,19750912
1558049720,16441344
1558049722,14884864
1558049724,14368768
1558049726,16146432
1558049728,14770176
1558049730,9658368
1558049732,8478720
1558049734,9216000
1558049736,19587072
1558049738,16662528
1558049740,15548416
1558049742,12623872
1558049744,19677184
1558049746,16547840
1558049748,11493376
1558049750,9527296
1558049752,4988928
1558049754,16654336
1558049756,14852096
1558049758,15900672
1558049760,15187968
1558049762,15196160
1558049764,15458304
1558049766,12132352
1558049768,5382144
1558049770,9265152
1558049772,15163392
1558049774,15458304
1558049776,11567104
1558049778,9617408
1558049780,9191424
1558049782,10125312
1558049784,18948096
1558049786,11526144
1558049788,9502720
1558049790,8552448
1558049792,9560064
1558049794,8118272
1558049796,16809984
1558049798,14868480
1558049800,14475264
1558049802,10649600
1558049804,8634368
1558049806,8429568
1558049808,19759104
1558049810,16211968
1558049812,14450688
1558049814,9740288
1558049816,17162240
1558049818,15671296
1558049820,15302656
1558049822,10739712
1558049824,8978432
1558049826,9175040
1558049828,16859136
1558049830,15032320
1558049832,15712256
1558049834,10461184
1558049836,8568832
1558049838,16678912
1558049840,15745024
1558049842,16310272
1558049844,14802944
1558049846,16621568
1558049848,13606912
1558049850,9306112
1558049852,17063936
1558049854,15073280
1558049856,16392192
1558049858,15736832
1558049860,9084928
1558049862,16842752
1558049864,14049280
1558049866,11239424
1558049868,9682944
1558049870,8839168
1558049872,10174464
1558049874,8396800
