timestamp,value
1558049544,9347072
1558049546,7372800
1558049548,9617408
1558049550,9175040
1558049552,9494528
1558049554,8536064
1558049556,9248768
1558049558,9707520
1558049560,6782976
1558049562,13524992
1558049564,12910592
1558049566,6111232
1558049568,8380416
1558049570,8667136
1558049572,9797632
1558049574,9297920
1558049576,10084352
1558049578,9625600
1558049580,10108928
1558049582,12353536
1558049584,10534912
1558049586,13303808
1558049588,12869632
1558049590,12394496
1558049592,13058048
1558049594,13205504
1558049596,13221888
1558049598,13049856
1558049600,12894208
1558049602,5660672
1558049604,13639680
1558049606,12091392
1558049608,13066240
1558049610,6234112
1558049612,8716288
1558049614,9584640
1558049616,9527296
1558049618,9764864
1558049620,10018816
1558049622,9887744
1558049624,9871360
1558049626,9895936
1558049628,9682944
1558049630,11091968
1558049632,12148736
1558049634,10731520
1558049636,11968512
1558049638,12263424
1558049640,12369920
1558049642,10878976
1558049644,12017664
1558049646,12730368
1558049648,13443072
1558049650,6225920
1558049652,13590528
1558049654,6365184
1558049656,9273344
1558049658,9535488
1558049660,8634368
1558049662,9396224
1558049664,10084352
1558049666,7512064
1558049668,8454144
1558049670,9347072
1558049672,9003008
1558049674,9338880
1558049676,9543680
1558049678,9756672
1558049680,10313728
1558049682,12443648
1558049684,11378688
1558049686,9650176
1558049688,9822208
1558049692,5652480
1558049694,6479872
1558049696,9019392
1558049698,9707520
1558049700,10158080
1558049702,12247040
1558049704,12967936
1558049706,12959744
1558049708,12984320
1558049710,12935168
1558049712,13131776
1558049714,13352960
1558049716,6307840
1558049718,13737984
1558049720,6094848
1558049722,9256960
1558049724,9527296
1558049726,6914048
1558049728,9068544
1558049730,8822784
1558049732,6553600
1558049734,9248768
1558049736,9764864
1558049738,10338304
1558049740,12107776
1558049742,12419072
1558049744,13312000
1558049746,12181504
1558049748,12271616
1558049750,10174464
1558049752,10002432
1558049754,12656640
1558049756,13041664
1558049758,6922240
1558049760,8921088
1558049762,8110080
1558049764,8839168
1558049766,9347072
1558049768,9592832
1558049770,10199040
1558049772,12582912
1558049774,10362880
1558049776,9674752
1558049778,10051584
1558049780,10600448
1558049782,12738560
1558049784,12648448
1558049786,10551296
1558049788,10182656
1558049790,9355264
1558049792,9928704
1558049794,10616832
1558049796,11862016
1558049798,13033472
1558049800,13639680
1558049802,13008896
1558049804,13271040
1558049806,13303808
1558049808,12967936
1558049810,13565952
1558049812,12976128
1558049814,13172736
1558049816,12779520
1558049818,13336576
1558049820,6332416
1558049822,9183232
1558049824,8871936
1558049826,8683520
1558049828,8175616
1558049830,9404416
1558049832,8962048
1558049834,10567680
1558049836,10231808
1558049838,12648448
1558049840,13230080
1558049842,12746752
1558049844,13484032
1558049846,10682368
1558049848,12427264
1558049850,10518528
1558049852,13164544
1558049854,12419072
1558049856,12935168
1558049858,13033472
1558049860,13672448
1558049862,8134656
1558049864,10305536
1558049866,13312000
1558049868,13393920
1558049870,12304384
1558049872,11288576
1558049874,12091392
1558049876,11657216
1558049878,10158080
1558049880,12967936
1558049882,11010048
1558049884,12140544
1558049886,12443648
1558049888,13205504
1558049890,12255232
1558049892,13369344
1558049894,12115968
1558049896,12828672
1558049898,13205504
1558049900,13475840
1558049902,6488064
1558049904,8650752
1558049906,12902400
1558049908,13008896
1558049910,6406144
1558049912,9306112
1558049914,9666560
1558049916,9494528
1558049918,7979008
1558049920,9289728
1558049922,9994240
1558049924,10002432
1558049926,12500992
1558049928,13107200
1558049930,12066816
1558049932,12804096
1558049934,13656064
1558049936,13107200
1558049938,12500992
1558049940,13099008
1558049942,13189120
1558049944,6201344
1558049946,15245312
1558049948,15114240
1558049950,13516800
1558049952,12713984
1558049954,13172736
1558049956,6283264
1558049958,8323072
1558049960,9535488
1558049962,9584640
1558049964,9404416
1558049966,7823360
1558049968,8380416
1558049970,9502720
1558049972,8077312
1558049974,9281536
1558049976,9289728
1558049978,9633792
1558049980,9846784
1558049982,10117120
1558049984,10436608
1558049986,13336576
1558049988,12345344
1558049990,10321920
1558049992,12271616
1558049994,13148160
1558049996,13099008
1558049998,13115392
1558050000,6332416
1558050002,13828096
1558050004,15368192
1558050006,13385728
1558050008,6545408
1558050010,13983744
1558050012,6774784
