timestamp,value
1558049544,213
1558049546,185
1558049548,165
1558049550,168
1558049552,162
1558049554,194
1558049556,165
1558049558,162
1558049560,203
1558049562,199
1558049564,176
1558049566,177
1558049568,179
1558049570,193
1558049572,182
1558049574,164
1558049576,162
1558049578,205
1558049580,201
1558049582,163
1558049584,221
1558049586,194
1558049588,175
1558049590,204
1558049592,197
1558049594,178
1558049596,215
1558049598,173
1558049600,199
1558049602,175
1558049604,165
1558049606,171
1558049608,167
1558049610,162
1558049612,202
1558049614,175
1558049616,181
1558049618,175
1558049620,179
1558049622,172
1558049624,200
1558049626,174
1558049628,187
1558049630,184
1558049632,163
1558049634,166
1558049636,164
1558049638,185
1558049640,163
1558049642,177
1558049644,167
1558049646,165
1558049648,162
1558049650,188
1558049652,172
1558049654,164
1558049656,203
1558049658,181
1558049660,186
1558049662,165
1558049664,193
1558049666,190
1558049668,173
1558049670,212
1558049672,161
1558049674,187
1558049676,175
1558049678,176
1558049680,175
1558049682,172
1558049684,162
1558049686,174
1558049688,187
1558049692,164
1558049694,177
1558049696,182
1558049698,205
1558049700,175
1558049702,189
1558049704,208
1558049706,165
1558049708,166
1558049710,164
1558049712,176
1558049714,159
1558049716,159
1558049718,180
1558049720,222
1558049722,165
1558049724,168
1558049726,202
1558049728,197
1558049730,214
1558049732,192
1558049734,182
1558049736,188
1558049738,168
1558049740,165
1558049742,212
1558049744,164
1558049746,167
1558049748,205
1558049750,188
1558049752,192
1558049754,160
1558049756,168
1558049758,190
1558049760,180
1558049762,199
1558049764,172
1558049766,197
1558049768,162
1558049770,216
1558049772,180
1558049774,172
1558049776,161
1558049778,180
1558049780,205
1558049782,170
1558049784,166
1558049786,162
1558049788,171
1558049790,161
1558049792,189
1558049794,173
1558049796,207
1558049798,174
1558049800,181
1558049802,164
1558049804,178
1558049806,162
1558049808,189
1558049810,203
1558049812,168
1558049814,180
1558049816,204
1558049818,190
1558049820,218
1558049822,163
1558049824,185
1558049826,175
1558049828,170
1558049830,180
1558049832,167
1558049834,170
1558049836,164
1558049838,166
1558049840,181
1558049842,180
1558049844,182
1558049846,208
1558049848,188
1558049850,173
1558049852,177
1558049854,170
1558049856,164
1558049858,196
1558049860,164
1558049862,201
1558049864,175
1558049866,174
1558049868,192
1558049870,168
1558049872,182
1558049874,194
1558049876,164
1558049878,168
1558049880,161
1558049882,177
1558049884,197
1558049886,194
1558049888,210
1558049890,166
1558049892,190
1558049894,171
1558049896,198
1558049898,193
1558049900,159
1558049902,212
1558049904,177
1558049906,163
1558049908,185
1558049910,205
1558049912,183
1558049914,159
1558049916,194
1558049918,162
1558049920,181
1558049922,187
1558049924,175
1558049926,184
1558049928,197
1558049930,193
1558049932,183
1558049934,205
1558049936,177
1558049938,180
1558049940,180
1558049942,215
1558049944,202
1558049946,162
1558049948,168
1558049950,163
1558049952,166
1558049954,163
1558049956,198
1558049958,174
1558049960,177
1558049962,211
1558049964,189
1558049966,211
1558049968,195
1558049970,160
1558049972,182
1558049974,160
1558049976,164
1558049978,174
1558049980,171
1558049982,215
1558049984,175
1558049986,176
1558049988,190
1558049990,203
1558049992,193
1558049994,173
1558049996,200
1558049998,170
1558050000,200
1558050002,201
1558050004,201
1558050006,212
1558050008,210
1558050010,180
1558050012,165
1558050014,177
1558050016,172
1558050018,192
1558050020,195
1558050022,167
1558050024,163
1558050026,179
1558050028,163
1558050030,190
1558050032,193
1558050034,172
1558050036,199
1558050038,174
1558050040,183
1558050042,178
1558050044,175
1558050046,184
1558050048,163
1558050050,180
1558050052,172
1558050054,221
1558050056,176
1558050058,181
1558050060,175
1558050062,175
1558050064,194
1558050066,161
1558050068,185
1558050070,199
1558050072,219
1558050074,210
1558050076,197
1558050078,188
1558050080,176
1558050082,209
1558050084,190
1558050086,217
1558050088,179
1558050090,186
1558050092,216
1558050094,193
1558050096,169
1558050098,164
1558050100,207
1558050102,170
1558050104,182
1558050106,174
1558050108,175
1558050110,205
1558050112,190
1558050114,196
1558050116,182
1558050118,163
1558050120,169
1558050122,183
1558050124,187
1558050126,185
1558050128,177
1558050130,168
1558050132,198
1558050134,177
1558050136,183
1558050138,189
1558050140,167
1558050142,168
1558050144,169
1558050146,162
1558050148,166
1558050150,166
1558050152,161
1558050154,163
1558050156,201
1558050158,177
1558050160,184
1558050162,177
1558050164,186
1558050166,179
1558050168,189
1558050170,201
1558050172,216
1558050174,197
1558050176,200
1558050178,166
1558050180,165
1558050182,182
1558050184,182
1558050186,180
1558050188,202
1558050190,198
1558050192,162
1558050194,177
1558050196,187
1558050198,202
1558050200,161
1558050202,215
1558050204,163
1558050206,187
1558050208,199
1558050210,211
1558050212,194
1558050214,195
1558050216,186
1558050218,211
1558050220,189
1558050222,175
1558050224,196
1558050226,170
1558050228,178
1558050230,220
1558050232,171
1558050234,192
1558050236,196
1558050238,163
1558050240,197
1558050242,190
1558050244,198
1558050246,179
1558050248,203
1558050250,161
1558050252,201
1558050254,177
1558050256,169
1558050258,199
1558050260,164
1558050262,170
1558050264,174
1558050266,167
1558050268,164
1558050270,172
1558050272,206
1558050274,169
1558050276,190
1558050278,203
1558050280,173
1558050282,170
1558050284,193
1558050286,161
1558050288,159
1558050290,165
1558050292,219
1558050294,178
1558050296,220
1558050298,204
1558050300,174
1558050302,194
1558050304,168
1558050306,163
1558050308,187
1558050310,185
1558050312,196
1558050314,207
1558050316,188
1558050318,168
1558050320,167
1558050322,177
1558050324,195
1558050326,195
1558050328,194
1558050330,162
1558050332,164
