timestamp,value
1558049544,202
1558049546,204
1558049548,221
1558049550,211
1558049552,192
1558049554,178
1558049556,211
1558049558,194
1558049560,168
1558049562,196
1558049564,222
1558049566,210
1558049568,202
1558049570,214
1558049572,212
1558049574,165
1558049576,172
1558049578,219
1558049580,175
1558049582,212
1558049584,204
1558049586,183
1558049588,183
1558049590,203
1558049592,182
1558049594,203
1558049596,191
1558049598,201
1558049600,185
1558049602,161
1558049604,186
1558049606,224
1558049608,177
1558049610,209
1558049612,174
1558049614,206
1558049616,200
1558049618,205
1558049620,199
1558049622,165
1558049624,179
1558049626,189
1558049628,202
1558049630,160
1558049632,203
1558049634,183
1558049636,196
1558049638,194
1558049640,206
1558049642,222
1558049644,174
1558049646,207
1558049648,198
1558049650,204
1558049652,169
1558049654,172
1558049656,206
1558049658,208
1558049660,193
1558049662,181
1558049664,169
1558049666,213
1558049668,187
1558049670,179
1558049672,220
1558049674,199
1558049676,189
1558049678,187
1558049680,176
1558049682,203
1558049684,219
1558049686,192
1558049688,191
1558049694,173
1558049696,224
1558049698,184
1558049700,225
1558049702,196
1558049704,224
1558049706,194
1558049708,210
1558049710,161
1558049712,188
1558049714,202
1558049716,165
1558049718,175
1558049720,193
1558049722,196
1558049724,184
1558049726,180
1558049728,199
1558049730,163
1558049732,177
1558049734,161
1558049736,199
1558049738,210
1558049740,214
1558049742,180
1558049744,191
1558049746,201
1558049748,218
1558049750,165
1558049752,173
1558049754,215
1558049756,178
1558049758,176
1558049760,208
1558049762,161
1558049764,214
1558049766,163
1558049768,176
1558049770,170
1558049772,174
1558049774,182
1558049776,214
1558049778,163
1558049780,212
1558049782,218
1558049784,193
1558049786,217
1558049788,221
1558049790,169
1558049792,174
1558049794,213
1558049796,161
1558049798,173
1558049800,170
1558049802,218
1558049804,179
1558049806,206
1558049808,212
1558049810,201
1558049812,214
1558049814,191
1558049816,161
1558049818,218
1558049820,185
1558049822,213
1558049824,186
1558049826,206
1558049828,198
1558049830,206
1558049832,181
1558049834,191
1558049836,215
1558049838,191
1558049840,189
1558049842,205
1558049844,168
1558049846,195
1558049848,222
1558049850,160
1558049852,183
1558049854,184
1558049856,174
1558049858,199
1558049860,204
1558049862,182
1558049864,177
1558049866,201
1558049868,211
1558049870,171
1558049872,212
1558049874,179
1558049876,176
1558049878,221
1558049880,169
1558049882,206
1558049884,185
1558049886,195
1558049888,179
1558049890,185
1558049892,224
1558049894,181
1558049896,200
1558049898,164
1558049900,193
1558049902,181
1558049904,174
1558049906,179
1558049908,180
1558049910,207
1558049912,193
1558049914,212
1558049916,177
1558049918,195
1558049920,193
1558049922,191
1558049924,213
1558049926,190
1558049928,204
1558049930,164
1558049932,185
1558049934,201
1558049936,210
1558049938,165
1558049940,164
1558049942,218
1558049944,209
1558049946,190
1558049948,163
1558049950,176
1558049952,192
1558049954,206
1558049956,200
1558049958,192
1558049960,195
1558049962,168
1558049964,205
1558049966,210
1558049968,222
1558049970,167
1558049972,182
1558049974,172
1558049976,194
1558049978,221
1558049980,223
1558049982,218
1558049984,201
1558049986,180
1558049988,194
1558049990,180
1558049992,194
1558049994,217
1558049996,222
1558049998,170
1558050000,161
1558050002,220
1558050004,172
1558050006,190
1558050008,172
1558050010,165
1558050012,193
1558050014,161
1558050016,182
1558050018,207
1558050020,165
1558050022,187
1558050024,221
1558050026,194
1558050028,189
1558050030,186
1558050032,167
1558050034,165
1558050036,211
1558050038,166
1558050040,173
1558050042,172
1558050044,211
1558050046,167
1558050048,172
1558050050,159
1558050052,202
1558050054,202
1558050056,165
1558050058,167
1558050060,186
1558050062,191
1558050064,162
1558050066,165
1558050068,179
1558050070,210
1558050072,205
1558050074,186
1558050076,198
1558050078,177
1558050080,187
1558050082,201
1558050084,222
1558050086,173
1558050088,211
1558050090,206
1558050092,169
1558050094,184
1558050096,172
1558050098,221
1558050100,208
1558050102,192
1558050104,166
1558050106,208
1558050108,201
1558050110,203
1558050112,175
1558050114,161
1558050116,162
1558050118,198
1558050120,212
1558050122,203
1558050124,183
1558050126,173
1558050128,200
1558050130,201
1558050132,193
1558050134,188
1558050136,198
1558050138,166
1558050140,226
1558050142,178
1558050144,209
1558050146,165
1558050148,221
1558050150,192
1558050152,190
1558050154,204
1558050156,224
1558050158,210
1558050160,222
1558050162,198
1558050164,208
1558050166,199
1558050168,191
1558050170,163
1558050172,164
1558050174,189
1558050176,179
1558050178,174
1558050180,173
1558050182,197
1558050184,166
1558050186,177
1558050188,185
1558050190,165
1558050192,202
1558050194,170
1558050196,170
1558050198,180
1558050200,184
1558050202,209
1558050204,224
1558050206,199
1558050208,160
1558050210,216
1558050212,203
1558050214,166
1558050216,162
1558050218,168
1558050220,172
1558050222,166
1558050224,216
1558050226,200
1558050228,200
1558050230,214
1558050232,193
1558050234,205
1558050236,192
1558050238,169
1558050240,197
1558050242,172
1558050244,191
1558050246,185
1558050248,204
1558050250,211
1558050252,166
1558050254,208
1558050256,193
1558050258,214
1558050260,174
1558050262,207
1558050264,167
1558050266,200
1558050268,161
1558050270,196
1558050272,216
1558050274,218
1558050276,181
1558050278,189
1558050280,224
1558050282,165
1558050284,204
1558050286,199
1558050288,183
1558050290,211
1558050292,210
1558050294,176
1558050296,193
1558050298,166
1558050300,218
1558050302,170
1558050304,214
1558050306,214
1558050308,180
1558050310,184
1558050312,199
1558050314,222
1558050316,178
1558050318,185
1558050320,172
1558050322,194
1558050324,184
1558050326,190
1558050328,189
1558050330,178
1558050332,181
1558050334,175
1558050336,221
1558050338,187
1558050340,163
1558050342,216
1558050344,161
1558050346,192
1558050348,198
1558050350,216
1558050352,169
1558050354,199
1558050356,210
1558050358,223
1558050360,172
1558050362,167
1558050364,207
1558050366,203
1558050368,193
1558050370,164
1558050372,171
1558050374,201
1558050376,173
1558050378,224
1558050380,160
1558050382,193
1558050384,187
1558050386,180
1558050388,201
1558050390,191
1558050392,202
1558050394,172
1558050396,165
1558050398,179
1558050400,206
1558050402,175
1558050404,212
1558050406,189
1558050408,222
1558050410,209
1558050412,210
1558050414,199
1558050416,169
1558050418,190
1558050420,168
1558050422,164
1558050424,196
1558050426,214
1558050428,200
1558050430,222
1558050432,162
1558050434,200
1558050436,189
1558050438,170
1558050440,214
1558050442,196
1558050444,196
1558050446,219
1558050448,207
1558050450,171
1558050452,160
1558050454,206
1558050456,191
1558050458,205
1558050460,210
1558050462,176
1558050464,194
1558050466,182
1558050468,206
1558050470,183
1558050472,224
1558050474,176
1558050476,190
1558050478,205
1558050480,197
1558050482,199
1558050484,171
1558050486,201
1558050488,205
1558050490,179
1558050492,207
1558050494,166
1558050496,193
1558050498,209
1558050500,191
1558050502,174
1558050504,195
1558050506,197
1558050508,190
1558050510,177
1558050512,160
1558050514,208
1558050516,172
1558050518,189
1558050520,196
1558050522,163
1558050524,191
1558050526,182
1558050528,179
1558050530,192
1558050532,175
1558050534,165
1558050536,177
1558050538,168
1558050540,196
1558050542,207
1558050544,189
1558050546,181
1558050548,197
1558050550,198
1558050552,183
1558050554,207
1558050556,198
1558050558,202
1558050560,216
1558050562,199
1558050564,166
1558050566,193
1558050568,162
1558050570,163
1558050572,190
1558050574,163
1558050576,199
1558050578,161
1558050580,209
1558050582,215
1558050584,176
1558050586,171
1558050588,199
1558050590,210
1558050592,176
1558050594,188
1558050596,208
1558050598,200
1558050600,180
1558050602,189
1558050604,210
1558050606,207
1558050608,193
1558050610,210
1558050612,206
1558050614,167
1558050616,173
1558050618,173
1558050620,185
1558050622,174
1558050624,216
1558050626,208
1558050628,199
1558050630,220
1558050632,191
1558050634,220
1558050636,174
1558050638,203
1558050640,193
1558050642,163
1558050644,160
1558050646,163
1558050648,160
1558050650,162
1558050652,215
1558050654,188
1558050656,171
1558050658,183
1558050660,189
1558050662,212
1558050664,202
1558050666,188
1558050668,206
1558050670,162
1558050672,188
1558050674,176
1558050676,188
1558050678,177
1558050680,168
1558050682,195
1558050684,209
1558050686,196
1558050688,212
1558050690,204
1558050692,213
1558050694,162
1558050696,175
1558050698,182
1558050700,183
1558050702,198
1558050704,172
1558050706,208
1558050708,160
1558050710,162
1558050712,188
1558050714,199
1558050716,198
1558050718,184
1558050720,198
1558050722,206
1558050724,179
1558050726,165
1558050728,161
1558050730,224
1558050732,193
1558050734,203
1558050736,220
1558050738,196
1558050740,196
1558050742,200
1558050744,168
1558050746,191
1558050748,210
1558050750,185
1558050752,198
1558050754,211
1558050756,224
1558050758,201
1558050760,200
1558050762,194
1558050764,218
1558050766,161
1558050768,164
1558050770,194
1558050772,189
1558050774,195
1558050776,159
1558050778,173
1558050780,184
1558050782,168
1558050784,192
1558050786,202
1558050788,171
1558050790,216
1558050792,198
1558050794,196
1558050796,182
1558050798,175
1558050800,226
1558050802,209
1558050804,193
1558050806,222
1558050808,173
1558050810,181
1558050812,165
1558050814,214
1558050816,189
1558050818,193
1558050820,206
1558050822,222
1558050824,200
1558050826,181
1558050828,195
1558050830,176
1558050832,178
1558050834,201
1558050836,174
1558050838,222
1558050840,201
1558050842,185
1558050844,173
1558050846,176
1558050848,196
1558050850,169
1558050852,169
1558050854,171
1558050856,187
1558050858,190
1558050860,203
1558050862,215
1558050864,178
1558050866,196
1558050868,207
1558050870,203
1558050872,193
1558050874,198
1558050876,222
1558050878,196
1558050880,173
1558050882,210
1558050884,172
1558050886,215
1558050888,201
1558050890,217
1558050892,218
1558050894,224
1558050896,195
1558050898,163
1558050900,176
1558050902,177
1558050904,177
1558050906,201
1558050908,223
1558050910,177
1558050912,196
1558050914,192
1558050916,167
1558050918,210
1558050920,193
1558050922,194
1558050924,172
1558050926,177
1558050928,202
1558050930,204
1558050932,212
1558050934,212
1558050936,165
1558050938,180
1558050940,218
1558050942,196
1558050944,174
1558050946,200
1558050948,163
1558050950,224
1558050952,170
1558050954,186
1558050956,205
1558050958,190
1558050960,191
1558050962,166
1558050964,184
1558050966,208
1558050968,206
1558050970,172
1558050972,167
1558050974,217
1558050976,199
1558050978,207
1558050980,160
1558050982,195
1558050984,201
1558050986,204
1558050988,165
1558050990,170
1558050992,164
1558050994,186
1558050996,179
1558050998,183
1558051000,166
1558051002,207
1558051004,213
1558051006,173
1558051008,188
1558051010,165
1558051012,221
1558051014,214
1558051016,203
1558051018,164
1558051020,162
1558051022,178
1558051024,192
1558051026,191
1558051028,198
1558051030,190
1558051032,160
1558051034,209
1558051036,161
1558051038,201
1558051040,193
1558051042,162
1558051044,201
1558051046,165
1558051048,178
1558051050,172
1558051052,206
1558051054,219
1558051056,170
1558051058,188
1558051060,167
1558051062,190
1558051064,199
1558051066,190
1558051068,198
1558051070,170
1558051072,179
1558051074,193
1558051076,179
1558051078,201
1558051080,168
1558051082,172
1558051084,217
1558051086,178
1558051088,224
1558051090,204
1558051092,176
1558051094,198
1558051096,162
1558051098,179
1558051100,218
1558051102,192
1558051104,204
1558051106,187
1558051108,195
1558051110,167
1558051112,171
1558051114,213
1558051116,180
1558051118,181
1558051120,177
1558051122,212
1558051124,164
1558051126,163
1558051128,200
1558051130,171
1558051132,163
1558051134,168
1558051136,182
1558051138,210
1558051140,203
1558051142,199
1558051144,189
1558051146,208
1558051148,164
1558051150,167
1558051152,222
1558051154,207
1558051156,206
1558051158,164
1558051160,172
1558051162,172
1558051164,194
1558051166,175
1558051168,182
1558051170,192
1558051172,214
1558051174,172
1558051176,183
1558051178,182
1558051180,182
1558051182,185
1558051184,165
1558051186,203
1558051188,214
1558051190,196
1558051192,198
1558051194,184
1558051196,164
1558051198,224
1558051200,221
1558051202,199
1558051204,175
1558051206,177
1558051208,162
1558051210,216
1558051212,222
1558051214,192
1558051216,192
1558051218,161
1558051220,193
1558051222,218
1558051224,169
1558051226,182
1558051228,166
1558051230,202
1558051232,205
1558051234,165
1558051236,164
1558051238,202
1558051240,222
1558051242,173
1558051244,199
1558051246,198
1558051248,204
1558051250,176
1558051252,162
1558051254,162
1558051256,199
1558051258,188
1558051260,165
1558051262,176
1558051264,209
1558051266,181
1558051268,185
1558051270,198
1558051272,161
1558051276,196
1558051278,167
1558051280,173
1558051282,210
1558051284,199
1558051286,172
1558051288,176
1558051290,165
1558051292,189
1558051294,203
1558051296,192
1558051298,174
1558051300,195
1558051302,198
1558051304,205
1558051306,173
1558051308,206
1558051310,165
1558051312,194
1558051314,189
1558051316,190
1558051318,182
1558051320,182
1558051322,168
1558051324,164
1558051326,194
1558051328,191
1558051330,182
1558051332,164
1558051334,190
1558051336,172
1558051338,169
1558051340,190
1558051342,161
1558051344,190
1558051346,213
1558051348,210
1558051350,217
1558051352,214
1558051354,190
1558051356,179
1558051358,190
1558051360,222
1558051362,192
1558051364,204
1558051366,174
1558051368,177
1558051370,185
1558051372,204
1558051374,201
1558051376,188
1558051378,215
1558051380,175
1558051382,171
1558051384,197
1558051386,173
1558051388,184
1558051390,189
1558051392,192
1558051394,170
1558051396,195
1558051398,209
1558051400,184
1558051402,198
1558051404,216
1558051406,203
1558051408,181
1558051410,194
1558051412,193
1558051414,203
1558051416,162
1558051418,182
1558051420,169
1558051422,193
1558051424,206
1558051426,197
1558051428,198
1558051430,186
1558051432,165
1558051434,197
1558051436,195
1558051438,165
1558051440,174
1558051442,200
1558051444,174
1558051446,210
1558051448,198
1558051450,206
1558051452,201
1558051454,199
1558051456,216
1558051458,167
1558051460,215
1558051462,208
1558051464,177
1558051466,222
1558051468,206
1558051470,210
1558051472,165
1558051474,171
1558051476,202
1558051478,214
1558051480,190
1558051482,176
1558051484,177
1558051486,187
1558051488,222
1558051490,166
1558051492,211
1558051494,166
1558051496,188
1558051498,208
1558051500,201
1558051502,201
1558051504,195
1558051506,191
1558051508,184
1558051510,175
1558051512,186
1558051514,169
1558051516,166
1558051518,203
1558051520,185
1558051522,208
1558051524,201
1558051526,227
1558051528,162
1558051530,202
1558051532,165
1558051534,191
1558051536,199
1558051538,179
1558051540,202
1558051542,196
1558051544,165
1558051546,191
1558051548,176
1558051550,171
1558051552,203
1558051554,170
1558051556,168
1558051558,205
1558051560,188
1558051562,170
1558051564,206
1558051566,201
1558051568,215
1558051570,188
1558051572,193
1558051574,172
1558051576,169
1558051578,184
1558051580,197
1558051582,197
1558051584,185
1558051586,208
1558051588,193
1558051590,196
1558051592,169
1558051594,173
1558051596,184
1558051598,193
1558051600,194
1558051602,200
1558051604,193
1558051606,217
1558051608,169
1558051610,195
1558051612,205
1558051614,191
1558051616,202
1558051618,163
1558051620,207
1558051622,173
1558051624,191
1558051626,195
1558051628,187
1558051630,184
1558051632,200
1558051634,180
1558051636,207
1558051638,219
1558051640,216
1558051642,222
1558051644,168
1558051646,183
1558051648,210
1558051650,160
1558051652,209
1558051654,170
1558051656,201
1558051658,214
1558051660,181
1558051662,182
1558051664,198
1558051666,202
1558051668,192
1558051670,224
1558051672,195
1558051674,219
1558051676,176
1558051678,190
1558051680,206
1558051682,202
1558051684,182
1558051686,164
1558051688,192
1558051690,175
1558051692,165
1558051694,192
1558051696,187
1558051698,188
1558051700,214
1558051702,202
1558051704,161
1558051706,212
1558051708,205
1558051710,184
1558051712,193
1558051714,194
1558051716,164
1558051718,167
1558051720,214
1558051722,200
1558051724,216
1558051726,183
1558051728,166
1558051730,173
1558051732,163
1558051734,178
1558051736,218
1558051738,188
1558051740,206
1558051742,196
1558051744,181
1558051746,189
1558051748,165
1558051750,212
1558051752,162
1558051754,176
1558051756,186
1558051758,221
1558051760,184
1558051762,194
1558051764,205
1558051766,224
1558051768,175
1558051770,183
1558051772,195
1558051774,182
1558051776,198
1558051778,196
1558051780,215
1558051782,211
1558051784,200
1558051786,219
1558051788,190
1558051790,200
1558051792,190
1558051794,162
1558051796,192
1558051798,161
1558051800,219
1558051802,165
1558051804,181
1558051806,196
1558051808,165
1558051810,210
1558051812,176
1558051814,210
1558051816,203
1558051818,198
1558051820,192
1558051822,212
1558051824,173
1558051826,166
1558051828,171
1558051830,189
1558051832,165
1558051834,212
1558051836,221
1558051838,168
1558051840,191
1558051842,221
1558051844,178
1558051846,177
1558051848,186
1558051850,201
1558051852,179
1558051854,184
1558051856,181
1558051858,193
1558051860,219
1558051862,168
1558051864,215
1558051866,204
1558051868,220
1558051870,187
1558051872,208
1558051874,202
1558051876,166
1558051878,166
1558051880,206
1558051882,195
1558051884,180
1558051886,168
1558051888,209
1558051890,164
1558051892,162
1558051894,176
1558051896,167
1558051898,222
1558051900,188
1558051902,160
1558051904,211
1558051906,197
1558051908,198
1558051910,167
1558051912,182
1558051914,194
1558051916,195
1558051918,215
1558051920,195
1558051922,198
1558051924,168
1558051926,185
1558051928,185
1558051930,161
1558051932,168
1558051934,170
1558051936,183
1558051938,192
1558051940,176
1558051942,200
1558051944,211
1558051946,220
1558051948,200
1558051950,177
1558051952,193
1558051954,163
1558051956,191
1558051958,182
1558051960,196
1558051962,179
1558051964,199
1558051966,201
1558051968,209
1558051970,162
1558051972,171
1558051974,199
1558051976,167
1558051978,174
1558051980,185
1558051982,216
1558051984,164
1558051986,222
1558051988,222
1558051990,176
1558051992,201
1558051994,165
1558051996,195
1558051998,194
1558052000,181
1558052002,175
1558052004,179
