timestamp,value
1558049544,4333.88
1558049546,4333.94
1558049548,4334.03
1558049550,4334.28
1558049552,4334.6
1558049554,4334.81
1558049556,4335.24
1558049558,4335.46
1558049560,4335.77
1558049562,4336.06
1558049564,4336.26
1558049566,4336.44
1558049568,4336.74
1558049570,4336.98
1558049572,4337.22
1558049574,4337.42
1558049576,4337.57
1558049578,4337.75
1558049580,4337.87
1558049582,4338.1
1558049584,4338.45
1558049586,4338.83
1558049588,4339.12
1558049590,4339.42
1558049592,4339.65
1558049594,4339.93
1558049596,4340.22
1558049598,4340.52
1558049600,4340.76
1558049602,4341.1
1558049604,4341.55
1558049606,4341.67
1558049608,4341.77
1558049610,4341.86
1558049612,4341.96
1558049614,4342.06
1558049616,4342.18
1558049618,4342.36
1558049620,4342.45
1558049622,4342.62
1558049624,4342.76
1558049626,4342.83
1558049628,4343
1558049630,4343.1
1558049632,4343.13
1558049634,4343.16
1558049636,4343.21
1558049638,4343.26
1558049640,4343.33
1558049642,4343.39
1558049644,4343.48
1558049646,4343.62
1558049648,4343.82
1558049650,4344.08
1558049652,4344.5
1558049654,4344.75
1558049656,4344.96
1558049658,4345.18
1558049660,4345.36
1558049662,4345.57
1558049664,4345.78
1558049666,4345.98
1558049668,4346.22
1558049670,4346.47
1558049672,4346.6
1558049674,4346.66
1558049676,4346.75
1558049678,4346.81
1558049680,4347.02
1558049682,4347.35
1558049684,4347.55
1558049686,4347.76
1558049688,4347.98
1558049690,4348.21
1558049692,4348.42
1558049694,4348.64
1558049696,4348.86
1558049698,4349.14
1558049700,4349.33
1558049702,4349.57
1558049704,4349.74
1558049706,4349.9
1558049708,4350.02
1558049710,4350.1
1558049712,4350.19
1558049714,4350.26
1558049716,4350.37
1558049718,4350.48
1558049720,4350.64
1558049722,4350.72
1558049724,4350.83
1558049726,4350.98
1558049728,4351.12
1558049730,4351.3
1558049732,4351.42
1558049734,4351.57
1558049736,4351.73
1558049738,4351.8
1558049740,4351.99
1558049742,4352.18
1558049744,4352.38
1558049746,4352.5
1558049748,4352.74
1558049750,4352.98
1558049752,4353.24
1558049754,4353.43
1558049756,4353.69
1558049758,4353.9
1558049760,4354.07
1558049762,4354.38
1558049764,4354.7
1558049766,4355.03
1558049768,4355.21
1558049770,4355.48
1558049772,4355.71
1558049774,4355.92
1558049776,4356.24
1558049778,4356.5
1558049780,4356.58
1558049782,4356.62
1558049784,4356.62
1558049786,4356.62
1558049788,4356.62
1558049790,4356.62
1558049792,4356.62
1558049794,4356.62
1558049796,4356.62
1558049798,4356.62
1558049800,4356.62
1558049802,4356.62
1558049804,4356.62
1558049806,4356.62
1558049808,4356.62
1558049810,4356.62
1558049812,4356.62
1558049814,4356.62
1558049816,4356.7
1558049818,4356.84
1558049820,4356.9
1558049822,4356.97
1558049824,4357.06
1558049826,4357.14
1558049828,4357.21
1558049830,4357.37
1558049832,4357.59
1558049834,4357.83
1558049836,4358.03
1558049838,4358.21
1558049840,4358.33
1558049842,4358.45
1558049844,4358.68
1558049846,4358.93
1558049848,4359.1
1558049850,4359.45
1558049852,4359.69
1558049854,4359.9
1558049856,4360.13
1558049858,4360.42
1558049860,4360.69
1558049862,4361.01
1558049864,4361.27
1558049866,4361.41
1558049868,4361.48
1558049870,4361.77
1558049872,4361.9
1558049874,4361.99
1558049876,4362.26
1558049878,4362.56
1558049880,4362.87
1558049882,4363.21
1558049884,4363.54
1558049886,4363.9
1558049888,4364.34
1558049890,4364.68
1558049892,4365.12
1558049894,4365.42
1558049896,4365.6
1558049898,4365.86
1558049900,4366.02
1558049902,4366.26
1558049904,4366.44
1558049906,4366.49
1558049908,4366.53
1558049910,4366.6
1558049912,4366.68
1558049914,4366.73
1558049916,4366.83
1558049918,4366.92
1558049920,4366.99
1558049922,4367.07
1558049924,4367.16
1558049926,4367.23
1558049928,4367.3
1558049930,4367.53
1558049932,4367.77
1558049934,4368.02
1558049936,4368.34
1558049938,4368.5
1558049940,4368.56
1558049942,4368.63
1558049944,4368.73
1558049946,4368.96
1558049948,4369.22
1558049950,4369.52
1558049952,4369.82
1558049954,4370.09
1558049956,4370.38
1558049958,4370.56
1558049960,4370.82
1558049962,4371.05
1558049964,4371.27
1558049966,4371.52
1558049968,4371.71
1558049970,4371.99
1558049972,4372.14
1558049974,4372.31
1558049976,4372.46
1558049978,4372.75
1558049980,4373.04
1558049982,4373.28
1558049984,4373.53
1558049986,4373.79
1558049988,4374.02
1558049990,4374.25
1558049992,4374.6
1558049994,4374.8
1558049996,4374.99
1558049998,4375.3
1558050000,4375.47
1558050002,4375.78
1558050004,4375.84
1558050006,4375.89
1558050008,4375.93
1558050010,4375.99
1558050012,4376.06
1558050014,4376.13
1558050016,4376.32
1558050018,4376.43
1558050020,4376.52
1558050022,4376.65
1558050024,4376.77
1558050026,4376.82
1558050028,4376.82
1558050030,4376.82
1558050032,4376.82
1558050034,4376.82
1558050036,4376.82
1558050038,4376.82
1558050040,4376.82
1558050042,4376.82
1558050044,4376.82
1558050046,4376.82
1558050048,4376.82
1558050050,4376.82
1558050052,4376.82
1558050054,4376.82
1558050056,4376.82
1558050058,4376.82
1558050060,4376.82
1558050062,4376.82
1558050064,4376.82
1558050066,4376.82
1558050068,4376.82
1558050070,4376.82
1558050072,4376.82
1558050074,4377.06
1558050076,4377.28
1558050078,4377.48
1558050080,4377.76
1558050082,4378.06
1558050084,4378.42
1558050086,4378.58
1558050088,4378.81
1558050090,4379
1558050092,4379.44
1558050094,4379.7
1558050096,4379.97
1558050098,4380.39
1558050100,4380.61
1558050102,4380.81
1558050104,4380.88
1558050106,4381
1558050108,4381.06
1558050110,4381.13
1558050112,4381.24
1558050114,4381.31
1558050116,4381.31
1558050118,4381.31
1558050120,4381.31
1558050122,4381.31
1558050124,4381.31
1558050126,4381.31
1558050128,4381.31
1558050130,4381.31
1558050132,4381.31
1558050134,4381.31
1558050136,4381.31
1558050138,4381.31
1558050140,4381.31
1558050142,4381.31
1558050144,4381.31
1558050146,4381.32
1558050148,4381.32
1558050150,4381.32
1558050152,4381.32
1558050154,4381.32
1558050156,4381.32
1558050158,4381.32
1558050160,4381.32
1558050162,4381.32
1558050164,4381.32
1558050166,4381.32
1558050168,4381.32
1558050170,4381.32
1558050172,4381.32
1558050174,4381.32
1558050176,4381.32
1558050178,4381.32
1558050180,4381.32
1558050182,4381.32
1558050184,4381.32
1558050186,4381.32
1558050188,4381.32
1558050190,4381.32
1558050192,4381.32
1558050194,4381.32
1558050196,4381.32
1558050198,4381.32
1558050200,4381.32
1558050202,4381.41
1558050204,4381.62
1558050206,4381.79
1558050208,4382.08
1558050210,4382.33
1558050212,4382.55
1558050214,4382.64
1558050216,4382.74
1558050218,4382.82
1558050220,4382.9
1558050222,4382.96
1558050224,4383.03
1558050226,4383.1
1558050228,4383.18
1558050230,4383.27
1558050232,4383.31
1558050234,4383.38
1558050236,4383.42
1558050238,4383.5
1558050240,4383.72
1558050242,4383.97
1558050244,4384.23
1558050246,4384.46
1558050248,4384.7
1558050250,4384.95
1558050252,4385.27
1558050254,4385.57
1558050256,4385.81
1558050258,4385.97
1558050260,4386.07
1558050262,4386.07
1558050264,4386.07
1558050266,4386.07
1558050268,4386.07
1558050270,4386.07
1558050272,4386.07
1558050274,4386.07
1558050276,4386.07
1558050278,4386.07
1558050280,4386.07
1558050282,4386.07
1558050284,4386.07
1558050286,4386.07
1558050288,4386.07
1558050290,4386.07
1558050292,4386.07
1558050294,4386.07
1558050296,4386.07
1558050298,4386.07
1558050300,4386.07
1558050302,4386.07
1558050304,4386.07
1558050306,4386.07
1558050308,4386.07
1558050310,4386.07
1558050312,4386.07
1558050314,4386.07
1558050316,4386.07
1558050318,4386.07
1558050320,4386.07
1558050322,4386.07
1558050324,4386.07
1558050326,4386.07
1558050328,4386.07
1558050330,4386.07
1558050332,4386.07
1558050334,4386.07
1558050336,4386.07
1558050338,4386.13
1558050340,4386.23
1558050342,4386.28
1558050344,4386.35
1558050346,4386.42
1558050348,4386.5
1558050350,4386.56
1558050352,4386.64
1558050354,4386.71
1558050356,4386.78
1558050358,4386.83
1558050360,4386.89
1558050362,4386.97
1558050364,4387.1
1558050366,4387.38
1558050368,4387.54
1558050370,4387.68
1558050372,4387.86
1558050374,4388.08
1558050376,4388.34
1558050378,4388.62
1558050380,4388.92
1558050382,4389.31
1558050384,4389.56
1558050386,4389.88
1558050388,4390.24
1558050390,4390.64
1558050392,4390.79
1558050394,4390.85
1558050396,4390.97
1558050398,4391.21
1558050400,4391.47
1558050402,4391.68
1558050404,4391.94
1558050406,4392.12
