timestamp,value
1558049544,23066918
1558049546,23067306
1558049548,23067644
1558049550,23068236
1558049552,23068673
1558049554,23069050
1558049556,23069361
1558049558,23070082
1558049560,23070441
1558049562,23070799
1558049564,23071144
1558049566,23071489
1558049568,23071824
1558049570,23072181
1558049572,23072525
1558049574,23072851
1558049576,23073195
1558049578,23073545
1558049580,23073914
1558049582,23074514
1558049584,23074952
1558049586,23075308
1558049588,23075664
1558049590,23076344
1558049592,23076977
1558049594,23077445
1558049596,23077857
1558049598,23078229
1558049600,23078610
1558049602,23078947
1558049604,23079783
1558049606,23080412
1558049608,23080866
1558049610,23081240
1558049612,23081581
1558049614,23082219
1558049616,23082651
1558049618,23082985
1558049620,23083332
1558049622,23083689
1558049624,23084026
1558049626,23084376
1558049628,23084683
1558049630,23085148
1558049632,23085579
1558049634,23085990
1558049636,23086328
1558049638,23086734
1558049640,23087086
1558049642,23087412
1558049644,23087755
1558049646,23088191
1558049648,23088762
1558049650,23089142
1558049652,23089484
1558049654,23089816
1558049656,23090155
1558049658,23090540
1558049660,23090901
1558049662,23091436
1558049664,23092073
1558049666,23092600
1558049668,23093084
1558049670,23093502
1558049672,23093922
1558049674,23094297
1558049676,23094670
1558049678,23095019
1558049680,23095648
1558049682,23096149
1558049684,23096522
1558049686,23096888
1558049688,23097239
1558049690,23097610
1558049692,23097990
1558049694,23098341
1558049696,23098709
1558049698,23099060
1558049700,23099434
1558049702,23099773
1558049704,23100122
1558049706,23100456
1558049708,23100791
1558049710,23101124
1558049712,23101458
1558049714,23101813
1558049716,23102360
1558049718,23102877
1558049720,23103241
1558049722,23103582
1558049724,23103971
1558049726,23104338
1558049728,23104640
1558049730,23104970
1558049732,23105306
1558049734,23105633
1558049736,23105971
1558049738,23106320
1558049740,23106642
1558049742,23106966
1558049744,23107421
1558049746,23107998
1558049748,23108379
1558049750,23108759
1558049752,23109081
1558049754,23109853
1558049756,23110417
1558049758,23110885
1558049760,23111316
1558049762,23111684
1558049764,23112590
1558049766,23113130
1558049768,23113567
1558049770,23113927
1558049772,23114253
1558049774,23114588
1558049776,23115151
1558049778,23115687
1558049780,23116218
1558049782,23116744
1558049784,23117199
1558049786,23117601
1558049788,23118021
1558049790,23118377
1558049792,23118738
1558049794,23119072
1558049796,23119444
1558049798,23119797
1558049800,23120159
1558049802,23120508
1558049804,23120842
1558049806,23121188
1558049808,23121525
1558049810,23121879
1558049812,23122240
1558049814,23122560
1558049816,23123214
1558049818,23123571
1558049820,23123938
1558049822,23124289
1558049824,23124656
1558049826,23124984
1558049828,23125334
1558049830,23125694
1558049832,23126084
1558049834,23126422
1558049836,23126774
1558049838,23127114
1558049840,23127467
1558049842,23127834
1558049844,23128489
1558049846,23128932
1558049848,23129289
1558049850,23129683
1558049852,23130003
1558049854,23130367
1558049856,23130748
1558049858,23131538
1558049860,23132405
1558049862,23132889
1558049864,23133277
1558049866,23133746
1558049868,23134251
1558049870,23134634
1558049872,23134954
1558049874,23135313
1558049876,23135965
1558049878,23136402
1558049880,23136797
1558049882,23137136
1558049884,23137472
1558049886,23137805
1558049888,23138124
1558049890,23138472
1558049892,23138819
1558049894,23139296
1558049896,23140132
1558049898,23140709
1558049900,23141102
1558049902,23141457
1558049904,23141815
1558049906,23142229
1558049908,23142577
1558049910,23142910
1558049912,23143211
1558049914,23143669
1558049916,23144199
1558049918,23144615
1558049920,23144969
1558049922,23145315
1558049924,23145621
1558049926,23145979
1558049928,23146300
1558049930,23146653
1558049932,23147006
1558049934,23147362
1558049936,23147711
1558049938,23148057
1558049940,23148405
1558049942,23148762
1558049944,23149130
1558049946,23149798
1558049948,23150224
1558049950,23150570
1558049952,23150920
1558049954,23151282
1558049956,23151666
1558049958,23152004
1558049960,23152728
1558049962,23153370
1558049964,23153864
1558049966,23154258
1558049968,23154631
1558049970,23154970
1558049972,23155318
1558049974,23155668
1558049976,23156025
1558049978,23156651
1558049980,23157090
1558049982,23157460
1558049984,23157814
1558049986,23158165
1558049988,23158535
1558049990,23158881
1558049992,23159216
1558049994,23159554
1558049996,23159911
1558049998,23160227
1558050000,23160830
1558050002,23161488
1558050004,23162362
1558050006,23162936
1558050008,23163412
1558050010,23163828
1558050012,23164177
1558050014,23164663
1558050016,23165160
1558050018,23165538
1558050020,23165888
1558050022,23166253
1558050024,23166618
1558050026,23167194
