timestamp,value
1558128780,40481529
1558128781,40481707
1558128782,40482137
1558128783,40482300
1558128784,40482777
1558128785,40483936
1558128786,40484837
1558128787,40485181
1558128788,40485491
1558128789,40485664
1558128790,40486940
1558128791,40487329
1558128792,40487763
1558128793,40487948
1558128794,40488651
1558128795,40488906
1558128796,40490659
1558128797,40490871
1558128798,40491247
1558128799,40491395
1558128800,40491736
1558128801,40493252
1558128802,40493474
1558128803,40493581
1558128804,40493929
1558128805,40494147
1558128806,40495493
1558128807,40495628
1558128808,40496268
1558128809,40496453
1558128810,40496603
1558128811,40496853
1558128812,40498492
1558128813,40498651
1558128814,40499034
1558128815,40499311
1558128816,40499656
1558128817,40500187
1558128818,40501418
1558128819,40501609
1558128820,40503588
1558128821,40503857
1558128822,40504440
1558128823,40504979
1558128824,40506120
1558128825,40506346
1558128826,40506745
1558128827,40507114
1558128828,40507550
1558128829,40507990
1558128830,40509208
1558128831,40509474
1558128832,40509783
1558128833,40510185
1558128834,40510943
1558128835,40511239
1558128836,40512530
1558128837,40512629
1558128838,40513028
1558128839,40513630
1558128840,40513896
1558128841,40515080
1558128842,40515478
1558128843,40515538
1558128844,40515714
1558128845,40516408
1558128846,40517732
1558128847,40518143
1558128848,40518321
1558128849,40518504
1558128850,40518888
1558128851,40519506
1558128852,40520580
1558128853,40520898
1558128854,40521287
1558128855,40521589
1558128856,40522325
1558128857,40523233
1558128858,40523913
1558128859,40524046
1558128860,40524361
1558128861,40524655
1558128862,40525301
1558128863,40525715
1558128864,40526822
1558128865,40527260
1558128866,40527744
1558128867,40528165
1558128868,40528707
1558128869,40528951
1558128870,40530144
1558128871,40530385
1558128872,40531368
1558128873,40531522
1558128874,40531742
1558128875,40531930
1558128876,40533326
1558128877,40533886
1558128878,40534446
1558128879,40534908
1558128880,40536636
1558128881,40537747
1558128882,40538022
1558128883,40538308
1558128884,40538748
1558128885,40539020
1558128886,40540163
1558128887,40540433
1558128888,40540616
1558128889,40541209
1558128890,40541565
1558128891,40541786
1558128892,40542952
1558128893,40543226
1558128894,40543835
1558128895,40544146
1558128896,40544674
1558128897,40544989
1558128898,40546072
1558128899,40546344
1558128900,40547144
1558128901,40547339
1558128902,40547864
1558128903,40548653
1558128904,40549123
1558128905,40552909
1558128906,40553252
1558128907,40553620
1558128908,40553942
1558128909,40555195
1558128910,40555557
1558128911,40556111
1558128912,40556468
1558128913,40556751
1558128914,40557665
1558128915,40558382
1558128916,40558785
1558128917,40559252
1558128918,40559546
1558128919,40559855
1558128920,40560822
1558128921,40561491
1558128922,40562205
1558128923,40562585
1558128924,40562779
1558128925,40563476
1558128926,40564340
1558128927,40564853
1558128928,40565246
1558128929,40565564
1558128930,40565962
1558128931,40566571
1558128932,40567577
1558128933,40567955
1558128934,40568381
1558128935,40568604
1558128936,40569118
1558128937,40570598
1558128938,40571070
1558128939,40571291
1558128940,40572998
1558128941,40573271
1558128942,40573589
1558128943,40574897
1558128944,40575429
1558128945,40575737
1558128946,40575957
1558128947,40576299
1558128948,40576553
1558128949,40577942
1558128950,40578221
1558128951,40578479
1558128952,40578789
1558128953,40579265
1558128954,40580079
1558128955,40581121
1558128956,40581344
1558128957,40581580
1558128958,40582209
1558128959,40582440
