timestamp,value
1558128780,201
1558128781,192
1558128782,162
1558128783,207
1558128784,201
1558128785,177
1558128786,185
1558128787,169
1558128788,221
1558128789,175
1558128790,188
1558128791,179
1558128792,196
1558128793,160
1558128794,200
1558128795,180
1558128796,190
1558128797,209
1558128798,189
1558128799,201
1558128800,210
1558128801,189
1558128802,194
1558128803,182
1558128804,214
1558128805,187
1558128806,161
1558128807,204
1558128808,178
1558128809,195
1558128810,189
1558128811,219
1558128812,201
1558128813,168
1558128814,165
1558128815,176
1558128816,223
1558128817,200
1558128818,164
1558128819,189
1558128820,213
1558128821,167
1558128822,192
1558128823,177
1558128824,209
1558128825,163
1558128826,171
1558128827,206
1558128828,179
1558128829,205
1558128830,194
1558128831,196
1558128832,200
1558128833,174
1558128834,186
1558128835,205
1558128836,214
1558128837,171
1558128838,173
1558128839,196
1558128840,178
1558128841,209
1558128842,215
1558128843,193
1558128844,183
1558128845,186
1558128846,190
1558128847,216
1558128848,199
1558128849,217
1558128850,199
1558128851,163
1558128852,190
1558128853,213
1558128854,218
1558128855,169
1558128856,202
1558128857,198
1558128858,164
1558128859,180
1558128860,164
1558128861,218
1558128862,165
1558128863,205
1558128864,169
1558128865,162
1558128866,189
1558128867,166
1558128868,174
1558128869,183
1558128870,203
1558128871,165
1558128872,219
1558128873,199
1558128874,165
1558128875,174
1558128876,216
1558128877,206
1558128878,189
1558128879,214
1558128880,170
1558128881,185
1558128882,170
1558128883,211
1558128884,190
1558128885,200
1558128886,163
1558128887,198
1558128888,166
1558128889,202
1558128890,194
1558128891,190
1558128892,198
1558128893,211
1558128894,200
1558128895,173
1558128896,202
1558128897,167
1558128898,209
1558128899,179
1558128900,192
1558128901,186
1558128902,162
1558128903,174
1558128904,191
1558128905,167
1558128906,202
1558128907,167
1558128908,174
1558128909,187
1558128910,182
1558128911,223
1558128912,191
1558128913,199
1558128914,167
1558128915,213
1558128916,179
1558128917,207
1558128918,161
1558128919,200
1558128920,164
1558128921,180
1558128922,199
1558128923,213
1558128924,164
1558128925,211
1558128926,215
1558128927,198
1558128928,220
1558128929,165
1558128930,167
1558128931,179
1558128932,163
1558128933,175
1558128934,213
1558128935,173
1558128936,189
1558128937,185
1558128938,218
1558128939,195
1558128940,213
1558128941,197
1558128942,210
1558128943,161
1558128944,191
1558128945,168
1558128946,202
1558128947,221
1558128948,214
1558128949,183
1558128950,178
1558128951,181
1558128952,182
1558128953,193
1558128954,202
1558128955,192
1558128956,203
1558128957,170
1558128958,198
1558128959,202
1558128960,181
1558128961,168
1558128962,178
1558128963,187
1558128964,216
1558128965,189
1558128966,220
1558128967,195
1558128968,190
1558128969,173
1558128970,176
1558128971,181
1558128972,216
1558128973,221
1558128974,202
1558128975,171
1558128976,186
1558128977,192
1558128978,183
1558128979,221
1558128980,202
1558128981,193
1558128982,162
1558128983,205
1558128984,197
1558128985,201
1558128986,168
1558128987,195
1558128988,200
