timestamp,value
1558128780,374927
1558128781,374927
1558128782,374927
1558128783,374927
1558128784,374927
1558128785,374927
1558128786,374927
1558128787,374927
1558128788,374927
1558128789,374927
1558128790,374927
1558128791,374927
1558128792,374927
1558128793,374927
1558128794,374927
1558128795,374927
1558128796,374927
1558128797,374927
1558128798,374927
1558128799,374927
1558128800,374927
1558128801,374927
1558128802,374928
1558128803,374929
1558128804,374931
1558128805,374933
1558128806,374935
1558128807,374938
1558128808,374939
1558128809,374940
1558128810,374940
1558128811,374943
1558128812,374944
1558128813,374946
1558128814,374948
1558128815,374948
1558128816,374952
1558128817,374954
1558128818,374956
1558128819,374959
1558128820,374963
1558128821,374966
1558128822,374967
1558128823,374970
1558128824,374973
1558128825,374975
1558128826,374979
1558128827,374982
1558128828,374986
1558128829,374988
1558128830,374990
1558128831,374992
1558128832,374996
1558128833,375000
1558128834,375003
1558128835,375007
1558128836,375012
1558128837,375015
1558128838,375015
1558128839,375016
1558128840,375020
1558128841,375024
1558128842,375028
1558128843,375032
1558128844,375036
1558128845,375039
1558128846,375042
1558128847,375045
1558128848,375048
1558128849,375051
1558128850,375053
1558128851,375055
1558128852,375058
1558128853,375062
1558128854,375065
1558128855,375067
1558128856,375069
1558128857,375072
1558128858,375074
1558128859,375077
1558128860,375079
1558128861,375082
1558128862,375084
1558128863,375087
1558128864,375090
1558128865,375092
1558128866,375095
1558128867,375100
1558128868,375104
1558128869,375106
1558128870,375109
1558128871,375114
1558128872,375116
1558128873,375119
1558128874,375122
1558128875,375126
1558128876,375130
1558128877,375134
1558128878,375137
1558128879,375142
1558128880,375144
1558128881,375149
1558128882,375152
1558128883,375155
1558128884,375157
1558128885,375161
1558128886,375167
1558128887,375171
1558128888,375175
1558128889,375178
1558128890,375181
1558128891,375185
1558128892,375188
1558128893,375191
1558128894,375194
1558128895,375198
1558128896,375203
1558128897,375208
1558128898,375211
1558128899,375216
1558128900,375220
1558128901,375222
1558128902,375227
1558128903,375231
1558128904,375235
1558128905,375239
1558128906,375243
1558128907,375246
1558128908,375248
1558128909,375252
1558128910,375256
1558128911,375258
1558128912,375261
1558128913,375265
1558128914,375268
1558128915,375273
1558128916,375274
1558128917,375278
1558128918,375280
1558128919,375285
1558128920,375288
1558128921,375292
1558128922,375295
1558128923,375298
1558128924,375300
1558128925,375303
1558128926,375309
1558128927,375311
1558128928,375314
1558128929,375317
1558128930,375320
