timestamp,value
1558128780,27264742
1558128781,27265196
1558128782,27265325
1558128783,27265643
1558128784,27266162
1558128785,27266390
1558128786,27266572
1558128787,27266843
1558128788,27267175
1558128789,27267502
1558128790,27267749
1558128791,27267970
1558128792,27268123
1558128793,27268247
1558128794,27268696
1558128795,27269154
1558128796,27269381
1558128797,27269811
1558128798,27269953
1558128799,27270919
1558128800,27271351
1558128801,27271711
1558128802,27271843
1558128803,27272143
1558128804,27272254
1558128805,27272736
1558128806,27272924
1558128807,27273165
1558128808,27273598
1558128809,27273748
1558128810,27273906
1558128811,27274391
1558128812,27274614
1558128813,27274851
1558128814,27275076
1558128815,27275354
1558128816,27275593
1558128817,27275976
1558128818,27276188
1558128819,27276545
1558128820,27276739
1558128821,27277031
1558128822,27277408
1558128823,27277594
1558128824,27277850
1558128825,27278050
1558128826,27278323
1558128827,27278819
1558128828,27279086
1558128829,27279617
1558128830,27279838
1558128831,27280174
1558128832,27280385
1558128833,27280727
1558128834,27280839
1558128835,27281111
1558128836,27281206
1558128837,27282000
1558128838,27282212
1558128839,27282568
1558128840,27282780
1558128841,27282991
1558128842,27283120
1558128843,27283373
1558128844,27283735
1558128845,27283947
1558128846,27284177
1558128847,27284433
1558128848,27284818
1558128849,27285231
1558128850,27285473
1558128851,27285651
1558128852,27285834
1558128853,27286035
1558128854,27286758
1558128855,27286909
1558128856,27287107
1558128857,27287491
1558128858,27287547
1558128859,27288649
1558128860,27288822
1558128861,27288983
1558128862,27289187
1558128863,27289445
1558128864,27289661
1558128865,27290093
1558128866,27290157
1558128867,27290444
1558128868,27290746
1558128869,27291106
1558128870,27291571
1558128871,27291969
1558128872,27292197
1558128873,27292356
1558128874,27292563
1558128875,27292845
1558128876,27293127
1558128877,27293408
1558128878,27293604
1558128879,27293884
1558128880,27294043
1558128881,27294550
1558128882,27294697
1558128883,27295000
1558128884,27295195
1558128885,27295469
1558128886,27295576
1558128887,27296002
1558128888,27296102
1558128889,27296529
1558128890,27296641
1558128891,27297080
1558128892,27297348
1558128893,27297757
1558128894,27298106
1558128895,27298467
1558128896,27298626
1558128897,27298878
1558128898,27299119
1558128899,27299500
1558128900,27299673
1558128901,27299835
1558128902,27300158
1558128903,27300421
1558128904,27300672
1558128905,27301010
1558128906,27301177
1558128907,27301404
1558128908,27301793
1558128909,27302063
1558128910,27302373
1558128911,27302807
1558128912,27302940
1558128913,27303412
1558128914,27303507
1558128915,27303852
1558128916,27304046
1558128917,27304354
1558128918,27304759
1558128919,27305805
1558128920,27305928
1558128921,27306270
1558128922,27306340
1558128923,27306509
1558128924,27306802
1558128925,27306974
1558128926,27307049
1558128927,27307402
1558128928,27307614
1558128929,27308164
