timestamp,value
1558128780,415
1558128781,415
1558128782,416
1558128783,417
1558128784,418
1558128785,420
1558128786,421
1558128787,422
1558128788,422
1558128789,423
1558128790,425
1558128791,426
1558128792,427
1558128793,428
1558128794,430
1558128795,431
1558128796,431
1558128797,432
1558128798,433
1558128799,435
1558128800,436
1558128801,437
1558128802,440
1558128803,506
1558128804,583
1558128805,696
1558128806,784
1558128807,884
1558128808,865
1558128809,892
1558128810,919
1558128811,886
1558128812,914
1558128813,944
1558128814,919
1558128815,944
1558128816,986
1558128817,966
1558128818,1001
1558128819,966
1558128820,994
1558128821,1029
1558128822,1045
1558128823,1004
1558128824,1044
1558128825,1061
1558128826,1046
1558128827,1023
1558128828,1010
1558128829,1122
1558128830,1236
1558128831,1348
1558128832,1452
1558128833,1552
1558128834,1647
1558128835,1741
1558128836,1826
1558128837,1916
1558128838,1925
1558128839,1925
1558128840,2000
1558128841,2062
1558128842,2138
1558128843,2210
1558128844,2276
1558128845,2347
1558128846,2414
1558128847,2482
1558128848,2536
1558128849,2599
1558128850,2662
1558128851,2726
1558128852,2777
1558128853,2823
1558128854,2868
1558128855,2915
1558128856,2965
1558128857,3012
1558128858,3062
1558128859,3096
1558128860,3127
1558128861,3159
1558128862,3189
1558128863,3222
1558128864,3253
1558128865,3284
1558128866,3316
1558128867,3348
1558128868,3380
1558128869,3414
1558128870,3430
1558128871,3447
1558128872,3465
1558128873,3481
1558128874,3497
1558128875,3513
1558128876,3529
1558128877,3545
1558128878,3563
1558128879,3579
1558128880,3593
1558128881,3610
1558128882,3627
1558128883,3645
1558128884,3661
1558128885,3549
1558128886,3501
1558128887,3520
1558128888,3536
1558128889,3550
1558128890,3563
1558128891,3579
1558128892,3596
1558128893,3613
1558128894,3629
1558128895,3646
1558128896,3662
1558128897,3679
1558128898,3694
1558128899,3710
1558128900,3723
1558128901,3738
1558128902,3753
1558128903,3754
1558128904,3754
1558128905,3754
1558128906,3638
1558128907,3525
1558128908,3412
1558128909,3371
1558128910,3272
1558128911,3170
1558128912,3071
1558128913,2916
1558128914,2839
1558128915,2757
1558128916,2681
1558128917,2612
1558128918,2539
1558128919,2529
1558128920,2459
1558128921,2394
1558128922,2338
1558128923,2293
1558128924,2241
1558128925,2185
1558128926,2134
1558128927,2145
1558128928,2088
1558128929,2157
1558128930,2238
1558128931,2319
1558128932,2391
1558128933,2457
1558128934,2511
1558128935,2578
1558128936,2577
1558128937,2508
1558128938,2574
1558128939,2642
1558128940,2705
1558128941,2758
1558128942,2809
1558128943,2853
1558128944,2900
1558128945,2950
1558128946,2996
1558128947,3043
1558128948,3081
1558128949,3110
1558128950,3139
1558128951,3171
1558128952,3197
1558128953,3225
1558128954,3257
1558128955,3286
1558128956,3310
1558128957,3342
1558128958,3374
1558128959,3405
1558128960,3423
1558128961,3439
1558128962,3454
1558128963,3469
1558128964,3483
1558128965,3498
1558128966,3512
1558128967,3527
1558128968,3538
1558128969,3551
1558128970,3564
1558128971,3579
1558128972,3594
1558128973,3609
1558128974,3624
1558128975,3639
1558128976,3655
1558128977,3669
1558128978,3684
1558128979,3699
1558128980,3713
1558128981,3727
1558128982,3740
1558128983,3753
1558128984,3754
1558128985,3754
1558128986,3754
1558128987,3754
1558128988,3754
1558128989,3754
1558128990,3754
1558128991,3754
1558128992,3754
1558128993,3754
1558128994,3754
1558128995,3754
1558128996,3754
1558128997,3642
1558128998,3656
1558128999,3674
1558129000,3689
1558129001,3707
1558129002,3726
1558129003,3743
1558129004,3754
1558129005,3754
1558129006,3754
1558129007,3754
1558129008,3754
1558129009,3754
1558129010,3754
1558129011,3754
1558129012,3754
1558129013,3754
1558129014,3638
1558129015,3525
1558129016,3474
1558129017,3364
1558129018,3268
1558129019,3172
1558129020,3075
1558129021,2998
1558129022,2916
1558129023,2835
1558129024,2753
1558129025,2677
1558129026,2612
1558129027,2545
1558129028,2612
1558129029,2674
1558129030,2735
1558129031,2777
1558129032,2826
1558129033,2871
1558129034,2913
1558129035,2956
1558129036,3000
1558129037,3043
1558129038,3084
1558129039,3114
1558129040,3145
1558129041,3177
1558129042,3207
1558129043,3110
1558129044,3024
1558129045,2941
1558129046,2857
1558129047,2771
1558129048,2696
1558129049,2687
1558129050,2614
1558129051,2548
1558129052,2477
1558129053,2405
1558129054,2400
1558129055,2341
1558129056,2285
1558129057,2306
1558129058,2378
1558129059,2441
1558129060,2497
1558129061,2558
1558129062,2618
1558129063,2687
1558129064,2738
1558129065,2780
1558129066,2820
1558129067,2863
1558129068,2909
1558129069,2958
1558129070,2939
1558129071,2853
1558129072,2899
1558129073,2937
1558129074,2981
1558129075,3025
1558129076,3063
1558129077,3094
1558129078,3120
1558129079,3149
1558129080,3176
1558129081,3207
1558129082,3234
1558129083,3260
1558129084,3289
1558129085,3319
1558129086,3346
1558129087,3374
1558129088,3402
1558129089,3423
1558129090,3436
1558129091,3451
1558129092,3467
1558129093,3482
1558129094,3499
1558129095,3514
1558129096,3529
1558129097,3542
1558129098,3557
1558129099,3443
1558129100,3338
1558129101,3303
1558129102,3202
1558129103,3097
1558129104,3069
1558129105,2983
1558129106,2896
1558129107,2813
1558129108,2789
1558129109,2707
1558129110,2634
1558129111,2619
1558129112,2550
1558129113,2472
1558129114,2465
1558129115,2514
1558129116,2566
1558129117,2617
1558129118,2673
1558129119,2721
1558129120,2696
1558129121,2678
1558129122,2728
1558129123,2770
1558129124,2815
1558129125,2862
1558129126,2910
1558129127,2954
1558129128,3004
1558129129,3050
1558129130,3087
1558129131,3118
1558129132,3153
1558129133,3185
1558129134,3220
1558129135,3254
1558129136,3286
1558129137,3319
1558129138,3350
1558129139,3380
1558129140,3406
1558129141,3426
1558129142,3441
1558129143,3455
1558129144,3469
1558129145,3483
1558129146,3497
1558129147,3512
1558129148,3526
1558129149,3540
1558129150,3554
1558129151,3570
1558129152,3587
1558129153,3602
1558129154,3618
1558129155,3633
1558129156,3647
1558129157,3663
1558129158,3678
1558129159,3695
1558129160,3712
1558129161,3729
1558129162,3743
1558129163,3754
1558129164,3754
1558129165,3754
1558129166,3754
1558129167,3754
1558129168,3754
1558129169,3754
1558129170,3754
1558129171,3754
1558129172,3754
1558129173,3754
1558129174,3754
1558129175,3754
1558129176,3754
1558129177,3754
1558129178,3754
1558129179,3754
1558129180,3754
1558129181,3754
1558129182,3754
1558129183,3754
1558129184,3754
1558129185,3754
1558129186,3698
1558129187,3584
1558129188,3598
1558129189,3613
1558129190,3628
1558129191,3641
1558129192,3655
1558129193,3669
1558129194,3683
1558129195,3699
1558129196,3712
1558129197,3729
1558129198,3741
1558129199,3754
1558129200,3754
1558129201,3754
1558129202,3754
1558129203,3754
1558129204,3754
1558129205,3754
1558129206,3754
1558129207,3754
1558129208,3754
1558129209,3754
1558129210,3754
1558129211,3754
1558129212,3754
1558129213,3754
1558129214,3754
1558129215,3754
1558129216,3754
1558129217,3754
1558129218,3754
1558129219,3754
1558129220,3754
1558129221,3754
1558129222,3754
1558129223,3754
1558129224,3754
1558129225,3754
1558129226,3754
1558129227,3635
1558129228,3649
1558129229,3660
1558129230,3672
1558129231,3681
1558129232,3695
1558129233,3707
1558129234,3720
1558129235,3732
1558129236,3746
1558129237,3754
1558129238,3754
1558129239,3754
1558129240,3754
1558129241,3754
1558129242,3754
1558129243,3754
1558129244,3754
1558129245,3754
1558129246,3754
1558129247,3754
1558129248,3754
1558129249,3754
1558129250,3754
1558129251,3754
1558129252,3754
1558129253,3754
1558129254,3754
1558129255,3754
1558129256,3754
1558129257,3754
1558129258,3754
1558129259,3754
1558129260,3754
1558129261,3754
1558129262,3754
1558129263,3754
1558129264,3754
1558129265,3754
1558129266,3754
1558129267,3754
1558129268,3754
1558129269,3754
1558129270,3754
1558129271,3754
1558129272,3754
1558129273,3754
1558129274,3754
1558129275,3696
1558129276,3581
1558129277,3595
1558129278,3608
1558129279,3621
1558129280,3634
1558129281,3645
1558129282,3659
1558129283,3671
1558129284,3685
1558129285,3698
1558129286,3712
1558129287,3726
1558129288,3739
1558129289,3752
1558129290,3754
1558129291,3754
1558129292,3754
1558129293,3754
1558129294,3754
1558129295,3754
1558129296,3754
1558129297,3754
1558129298,3754
1558129299,3754
1558129300,3754
1558129301,3754
1558129302,3754
1558129303,3754
1558129304,3754
1558129305,3754
1558129306,3754
1558129307,3754
1558129308,3754
1558129309,3754
1558129310,3754
1558129311,3754
1558129312,3754
1558129313,3754
1558129314,3754
1558129315,3754
1558129316,3754
1558129317,3754
1558129318,3754
1558129319,3754
1558129320,3754
1558129321,3754
1558129322,3754
1558129323,3754
1558129324,3754
1558129325,3754
1558129326,3754
1558129327,3754
1558129328,3693
1558129329,3644
1558129330,3659
1558129331,3672
1558129332,3685
1558129333,3699
1558129334,3713
1558129335,3726
1558129336,3738
1558129337,3752
1558129338,3754
1558129339,3754
1558129340,3754
1558129341,3754
1558129342,3754
1558129343,3754
1558129344,3754
1558129345,3754
1558129346,3754
1558129347,3754
1558129348,3754
1558129349,3754
1558129350,3754
1558129351,3754
1558129352,3754
1558129353,3754
1558129354,3754
1558129355,3754
1558129356,3754
1558129357,3754
1558129358,3754
1558129359,3754
1558129360,3754
1558129361,3754
1558129362,3754
1558129363,3754
1558129364,3754
1558129365,3754
1558129366,3754
1558129367,3754
1558129368,3754
1558129369,3754
1558129370,3754
1558129371,3754
1558129372,3754
1558129373,3754
1558129374,3754
1558129375,3754
1558129376,3691
1558129377,3639
1558129378,3589
1558129379,3601
1558129380,3615
1558129381,3629
1558129382,3642
1558129383,3656
1558129384,3668
1558129385,3681
1558129386,3694
1558129387,3708
1558129388,3721
1558129389,3735
1558129390,3750
1558129391,3754
1558129392,3754
1558129393,3754
1558129394,3754
1558129395,3754
1558129396,3754
1558129397,3754
1558129398,3754
1558129399,3637
1558129400,3523
1558129401,3471
1558129402,3358
1558129403,3321
1558129404,3222
1558129405,3120
1558129406,3078
1558129407,2983
1558129408,2955
1558129409,2866
1558129410,2840
1558129411,2750
1558129412,2680
1558129413,2664
1558129414,2592
1558129415,2578
1558129416,2631
1558129417,2680
1558129418,2735
1558129419,2777
1558129420,2823
1558129421,2866
1558129422,2909
1558129423,2951
1558129424,2985
1558129425,3026
1558129426,3067
1558129427,3096
1558129428,3124
1558129429,3152
1558129430,3177
1558129431,3200
1558129432,3225
1558129433,3252
1558129434,3283
1558129435,3312
1558129436,3340
1558129437,3367
1558129438,3394
1558129439,3416
1558129440,3430
1558129441,3443
1558129442,3457
1558129443,3470
1558129444,3484
1558129445,3498
1558129446,3512
1558129447,3524
1558129448,3539
1558129449,3552
1558129450,3567
1558129451,3516
1558129452,3404
1558129453,3422
1558129454,3436
1558129455,3448
1558129456,3461
1558129457,3476
1558129458,3489
1558129459,3501
1558129460,3514
1558129461,3529
1558129462,3543
1558129463,3557
1558129464,3571
1558129465,3588
1558129466,3602
1558129467,3616
1558129468,3632
1558129469,3645
1558129470,3659
1558129471,3673
1558129472,3688
1558129473,3701
1558129474,3715
1558129475,3729
1558129476,3743
1558129477,3754
1558129478,3754
1558129479,3754
