timestamp,value
1558135980,0.3695
1558135981,0.37
1558135982,0.3705
1558135983,0.371
1558135984,0.3715
1558135985,0.372
1558135986,0.3725
1558135987,0.373
1558135988,0.3735
1558135989,0.374
1558135990,0.3745
1558135991,0.375
1558135992,0.3755
1558135993,0.376
1558135994,0.3765
1558135995,0.377
1558135996,0.3775
1558135997,0.378
1558135998,0.3785
1558135999,0.379
1558136000,0.3795
1558136001,0.38
1558136002,0.3805
1558136003,0.381
1558136004,0.3815
1558136005,0.382
1558136006,0.3825
1558136007,0.383
1558136008,0.3835
1558136009,0.384
1558136010,0.3845
1558136011,0.385
1558136012,0.3855
1558136013,0.386
1558136014,0.3865
1558136015,0.387
1558136016,0.3875
1558136017,0.388
1558136018,0.3885
1558136019,0.389
1558136020,0.3895
1558136021,0.39
1558136022,0.3905
1558136023,0.391
1558136024,0.3915
1558136025,0.392
1558136026,0.3925
1558136027,0.393
1558136028,0.3935
1558136029,0.394
1558136030,0.3945
1558136031,0.395
1558136032,0.3955
1558136033,0.396
1558136034,0.3965
1558136035,0.397
1558136036,0.3975
1558136037,0.398
1558136038,0.3985
1558136039,0.399
1558136040,0.3995
1558136041,0.4
1558136042,0.4005
1558136043,0.401
1558136044,0.4015
1558136045,0.402
1558136046,0.4025
1558136047,0.403
1558136048,0.4035
1558136049,0.404
1558136050,0.4045
1558136051,0.405
1558136052,0.4055
1558136053,0.406
1558136054,0.4065
1558136055,0.407
1558136056,0.4075
1558136057,0.408
1558136058,0.4085
1558136059,0.409
1558136060,0.4095
1558136061,0.41
1558136062,0.4105
1558136063,0.411
1558136064,0.4115
1558136065,0.412
1558136066,0.4125
1558136067,0.413
1558136068,0.4135
1558136069,0.414
1558136070,0.4145
1558136071,0.415
1558136072,0.4155
1558136073,0.416
1558136074,0.4165
1558136075,0.417
1558136076,0.4175
1558136077,0.418
1558136078,0.4185
1558136079,0.419
1558136080,0.4195
1558136081,0.42
1558136082,0.4205
1558136083,0.421
1558136084,0.4215
1558136085,0.422
1558136086,0.4225
1558136087,0.423
1558136088,0.4235
1558136089,0.424
1558136090,0.4245
1558136091,0.425
1558136092,0.4255
1558136093,0.426
1558136094,0.4265
1558136095,0.427
1558136096,0.4275
1558136097,0.428
1558136098,0.4285
1558136099,0.429
1558136100,0.4295
1558136101,0.43
1558136102,0.4305
1558136103,0.431
1558136104,0.4315
1558136105,0.432
1558136106,0.4325
1558136107,0.433
1558136108,0.4335
1558136109,0.434
1558136110,0.4345
1558136111,0.435
1558136112,0.4355
1558136113,0.436
1558136114,0.4365
1558136115,0.437
1558136116,0.4375
1558136117,0.438
1558136118,0.4385
1558136119,0.439
1558136120,0.4395
1558136121,0.44
1558136122,0.4405
1558136123,0.441
1558136124,0.4415
1558136125,0.442
1558136126,0.4425
1558136127,0.443
1558136128,0.4435
1558136129,0.444
1558136130,0.4445
1558136131,0.445
1558136132,0.4455
1558136133,0.446
1558136134,0.4465
1558136135,0.447
1558136136,0.4475
1558136137,0.448
1558136138,0.4485
1558136139,0.449
1558136140,0.4495
1558136141,0.45
1558136142,0.4505
1558136143,0.451
1558136144,0.4515
1558136145,0.452
1558136146,0.4525
1558136147,0.453
1558136148,0.4535
1558136149,0.454
1558136150,0.4545
1558136151,0.455
1558136152,0.4555
1558136153,0.456
1558136154,0.4565
1558136155,0.457
1558136156,0.4575
1558136157,0.458
1558136158,0.4585
1558136159,0.459
1558136160,0.4595
1558136161,0.46
1558136162,0.4605
1558136163,0.461
1558136164,0.4615
1558136165,0.462
1558136166,0.4625
1558136167,0.463
1558136168,0.4635
1558136169,0.464
1558136170,0.4645
1558136171,0.465
1558136172,0.4655
1558136173,0.466
1558136174,0.4665
1558136175,0.467
1558136176,0.4675
1558136177,0.468
1558136178,0.4685
1558136179,0.469
1558136180,0.4695
1558136181,0.47
1558136182,0.4705
1558136183,0.471
1558136184,0.4715
1558136185,0.472
1558136186,0.4725
1558136187,0.473
1558136188,0.4735
1558136189,0.474
1558136190,0.4745
1558136191,0.475
1558136192,0.4755
1558136193,0.476
1558136194,0.4765
1558136195,0.477
1558136196,0.4775
1558136197,0.478
1558136198,0.4785
1558136199,0.479
1558136200,0.4795
1558136201,0.48
1558136202,0.4805
1558136203,0.481
1558136204,0.4815
1558136205,0.482
1558136206,0.4825
1558136207,0.483
1558136208,0.4835
1558136209,0.484
1558136210,0.4845
1558136211,0.485
1558136212,0.4855
1558136213,0.486
1558136214,0.4865
1558136215,0.487
1558136216,0.4875
1558136217,0.488
1558136218,0.4885
1558136219,0.489
1558136220,0.4895
1558136221,0.49
1558136222,0.4905
1558136223,0.491
1558136224,0.4915
1558136225,0.492
1558136226,0.4925
1558136227,0.493
1558136228,0.4935
1558136229,0.494
1558136230,0.4945
1558136231,0.495
1558136232,0.4955
1558136233,0.496
1558136234,0.4965
1558136235,0.497
1558136236,0.4975
1558136237,0.498
1558136238,0.4985
1558136239,0.499
1558136240,0.4995
1558136241,0.5
1558136242,0.5005
1558136243,0.501
1558136244,0.5015
1558136245,0.502
1558136246,0.5025
1558136247,0.503
1558136248,0.5035
1558136249,0.504
1558136250,0.5045
1558136251,0.505
1558136252,0.5055
1558136253,0.506
1558136254,0.5065
1558136255,0.507
1558136256,0.5075
1558136257,0.508
1558136258,0.5085
1558136259,0.509
1558136260,0.5095
1558136261,0.51
1558136262,0.5105
1558136263,0.511
1558136264,0.5115
1558136265,0.512
1558136266,0.5125
1558136267,0.513
1558136268,0.5135
1558136269,0.514
1558136270,0.5145
1558136271,0.515
1558136272,0.5155
1558136273,0.516
1558136274,0.5165
1558136275,0.517
1558136276,0.5175
1558136277,0.518
1558136278,0.5185
1558136279,0.519
1558136280,0.5195
1558136281,0.52
1558136282,0.5205
1558136283,0.521
1558136284,0.5215
1558136285,0.522
1558136286,0.5225
1558136287,0.523
1558136288,0.5235
1558136289,0.524
1558136290,0.5245
1558136291,0.525
1558136292,0.5255
1558136293,0.526
1558136294,0.5265
1558136295,0.527
1558136296,0.5275
1558136297,0.528
1558136298,0.5285
1558136299,0.529
1558136300,0.5295
1558136301,0.53
1558136302,0.5305
1558136303,0.531
1558136304,0.5315
1558136305,0.532
1558136306,0.5325
1558136307,0.533
1558136308,0.5335
1558136309,0.534
1558136310,0.5345
1558136311,0.535
1558136312,0.5355
1558136313,0.536
1558136314,0.5365
1558136315,0.537
1558136316,0.5375
1558136317,0.538
1558136318,0.5385
1558136319,0.539
1558136320,0.5395
1558136321,0.54
1558136322,0.5405
1558136323,0.541
1558136324,0.5415
1558136325,0.542
1558136326,0.5425
1558136327,0.543
1558136328,0.5435
1558136329,0.544
1558136330,0.5445
1558136331,0.545
1558136332,0.5455
1558136333,0.546
1558136334,0.5465
1558136335,0.547
1558136336,0.5475
1558136337,0.548
1558136338,0.5485
1558136339,0.549
1558136340,0.5495
1558136341,0.55
1558136342,0.5505
1558136343,0.551
1558136344,0.5515
1558136345,0.552
1558136346,0.5525
1558136347,0.553
1558136348,0.5535
1558136349,0.554
1558136350,0.5545
1558136351,0.555
1558136352,0.5555
1558136353,0.556
1558136354,0.5565
1558136355,0.557
1558136356,0.5575
1558136357,0.558
1558136358,0.5585
1558136359,0.559
1558136360,0.5595
1558136361,0.56
1558136362,0.5605
1558136363,0.561
1558136364,0.5615
1558136365,0.562
1558136366,0.5625
1558136367,0.563
1558136368,0.5635
1558136369,0.564
1558136370,0.5645
1558136371,0.565
1558136372,0.5655
1558136373,0.566
1558136374,0.5665
1558136375,0.567
1558136376,0.5675
1558136377,0.568
1558136378,0.5685
1558136379,0.569
1558136380,0.5695
1558136381,0.57
1558136382,0.5705
1558136383,0.571
1558136384,0.5715
1558136385,0.572
1558136386,0.5725
1558136387,0.573
1558136388,0.5735
1558136389,0.574
1558136390,0.5745
1558136391,0.575
1558136392,0.5755
1558136393,0.576
1558136394,0.5765
1558136395,0.577
1558136396,0.5775
1558136397,0.578
1558136398,0.5785
1558136399,0.579
1558136400,0.5795
1558136401,0.58
1558136402,0.5805
1558136403,0.581
1558136404,0.5815
1558136405,0.582
1558136406,0.5825
1558136407,0.583
1558136408,0.5835
1558136409,0.584
1558136410,0.5845
1558136411,0.585
1558136412,0.5855
1558136413,0.586
1558136414,0.5865
1558136415,0.587
1558136416,0.5875
1558136417,0.588
1558136418,0.5885
1558136419,0.589
1558136420,0.5895
1558136421,0.59
1558136422,0.5905
1558136423,0.591
1558136424,0.5915
1558136425,0.592
1558136426,0.5925
1558136427,0.593
1558136428,0.5935
1558136429,0.594
1558136430,0.5945
1558136431,0.595
1558136432,0.5955
1558136433,0.596
1558136434,0.5965
1558136435,0.597
1558136436,0.5975
1558136437,0.598
1558136438,0.5985
1558136439,0.599
1558136440,0.5995
1558136441,0.6
1558136442,0.6005
1558136443,0.601
1558136444,0.6015
1558136445,0.602
1558136446,0.6025
1558136447,0.603
1558136448,0.6035
1558136449,0.604
1558136450,0.6045
1558136451,0.605
1558136452,0.6055
1558136453,0.606
1558136454,0.6065
1558136455,0.607
1558136456,0.6075
1558136457,0.608
1558136458,0.6085
1558136459,0.609
1558136460,0.6095
1558136461,0.61
1558136462,0.6105
1558136463,0.611
1558136464,0.6115
1558136465,0.612
1558136466,0.6125
1558136467,0.613
1558136468,0.6135
1558136469,0.614
1558136470,0.6145
1558136471,0.615
1558136472,0.6155
1558136473,0.616
1558136474,0.6165
1558136475,0.617
1558136476,0.6175
1558136477,0.618
1558136478,0.6185
1558136479,0.619
1558136480,0.6195
1558136481,0.62
1558136482,0.6205
1558136483,0.621
1558136484,0.6215
1558136485,0.622
1558136486,0.6225
1558136487,0.623
1558136488,0.6235
1558136489,0.624
1558136490,0.6245
1558136491,0.625
1558136492,0.6255
1558136493,0.626
1558136494,0.6265
1558136495,0.627
1558136496,0.6275
1558136497,0.628
1558136498,0.6285
1558136499,0.629
1558136500,0.6295
1558136501,0.63
1558136502,0.6305
1558136503,0.631
1558136504,0.6315
1558136505,0.632
1558136506,0.6325
1558136507,0.633
1558136508,0.6335
1558136509,0.634
1558136510,0.6345
1558136511,0.635
1558136512,0.6355
1558136513,0.636
1558136514,0.6365
1558136515,0.637
1558136516,0.6375
1558136517,0.638
1558136518,0.6385
1558136519,0.639
1558136520,0.6395
1558136521,0.64
1558136522,0.6405
1558136523,0.641
1558136524,0.6415
1558136525,0.642
1558136526,0.6425
1558136527,0.643
1558136528,0.6435
1558136529,0.644
1558136530,0.6445
1558136531,0.645
1558136532,0.6455
1558136533,0.646
1558136534,0.6465
1558136535,0.647
1558136536,0.6475
1558136537,0.648
1558136538,0.6485
1558136539,0.649
1558136540,0.6495
1558136541,0.65
1558136542,0.6505
1558136543,0.651
1558136544,0.6515
1558136545,0.652
1558136546,0.6525
1558136547,0.653
1558136548,0.6535
1558136549,0.654
1558136550,0.6545
1558136551,0.655
1558136552,0.6555
1558136553,0.656
1558136554,0.6565
1558136555,0.657
1558136556,0.6575
1558136557,0.658
1558136558,0.6585
1558136559,0.659
1558136560,0.6595
1558136561,0.66
1558136562,0.6605
1558136563,0.661
1558136564,0.6615
1558136565,0.662
1558136566,0.6625
1558136567,0.663
1558136568,0.6635
1558136569,0.664
1558136570,0.6645
1558136571,0.665
1558136572,0.6655
1558136573,0.666
1558136574,0.6665
1558136575,0.667
1558136576,0.6675
1558136577,0.668
1558136578,0.6685
1558136579,0.669
1558136580,0.6695
1558136581,0.67
1558136582,0.6705
1558136583,0.671
1558136584,0.6715
1558136585,0.672
1558136586,0.6725
1558136587,0.673
1558136588,0.6735
1558136589,0.674
1558136590,0.6745
1558136591,0.675
1558136592,0.6755
1558136593,0.676
1558136594,0.6765
1558136595,0.677
1558136596,0.6775
1558136597,0.678
1558136598,0.6785
1558136599,0.679
1558136600,0.6795
1558136601,0.68
1558136602,0.6805
1558136603,0.681
1558136604,0.6815
1558136605,0.682
1558136606,0.6825
1558136607,0.683
1558136608,0.6835
1558136609,0.684
1558136610,0.6845
1558136611,0.685
1558136612,0.6855
1558136613,0.686
1558136614,0.6865
1558136615,0.687
1558136616,0.6875
1558136617,0.688
1558136618,0.6885
1558136619,0.689
1558136620,0.6895
1558136621,0.69
1558136622,0.6905
1558136623,0.691
1558136624,0.6915
1558136625,0.692
1558136626,0.6925
1558136627,0.693
1558136628,0.6935
1558136629,0.694
1558136630,0.6945
1558136631,0.695
1558136632,0.6955
1558136633,0.696
1558136634,0.6965
1558136635,0.697
1558136636,0.6975
1558136637,0.698
1558136638,0.6985
1558136639,0.699
1558136640,0.6995
1558136641,0.7
1558136642,0.7005
1558136643,0.701
1558136644,0.7015
1558136645,0.702
1558136646,0.7025
1558136647,0.703
1558136648,0.7035
1558136649,0.704
1558136650,0.7045
1558136651,0.705
1558136652,0.7055
1558136653,0.706
1558136654,0.7065
1558136655,0.707
1558136656,0.7075
1558136657,0.708
1558136658,0.7085
1558136659,0.709
1558136660,0.7095
1558136661,0.71
1558136662,0.7105
1558136663,0.711
1558136664,0.7115
1558136665,0.712
1558136666,0.7125
1558136667,0.713
1558136668,0.7135
1558136669,0.714
1558136670,0.7145
1558136671,0.715
1558136672,0.7155
1558136673,0.716
1558136674,0.7165
1558136675,0.717
1558136676,0.7175
1558136677,0.718
1558136678,0.7185
1558136679,0.719
1558136680,0.7195
1558136681,0.72
1558136682,0.7205
1558136683,0.721
1558136684,0.7215
1558136685,0.722
1558136686,0.7225
1558136687,0.723
1558136688,0.7235
1558136689,0.724
1558136690,0.7245
1558136691,0.725
1558136692,0.7255
1558136693,0.726
1558136694,0.7265
1558136695,0.727
1558136696,0.7275
1558136697,0.728
1558136698,0.7285
1558136699,0.729
1558136700,0.7295
1558136701,0.73
1558136702,0.7305
1558136703,0.731
1558136704,0.7315
1558136705,0.732
1558136706,0.7325
1558136707,0.733
1558136708,0.7335
1558136709,0.734
1558136710,0.7345
1558136711,0.735
1558136712,0.7355
1558136713,0.736
1558136714,0.7365
1558136715,0.737
1558136716,0.7375
1558136717,0.738
1558136718,0.7385
1558136719,0.739
1558136720,0.7395
1558136721,0.74
1558136722,0.7405
1558136723,0.741
1558136724,0.7415
1558136725,0.742
1558136726,0.7425
1558136727,0.743
1558136728,0.7435
1558136729,0.744
1558136730,0.7445
1558136731,0.745
1558136732,0.7455
1558136733,0.746
1558136734,0.7465
1558136735,0.747
1558136736,0.7475
1558136737,0.748
1558136738,0.7485
1558136739,0.749
1558136740,0.7495
1558136741,0.75
1558136742,0.7505
1558136743,0.751
1558136744,0.7515
1558136745,0.752
1558136746,0.7525
1558136747,0.753
1558136748,0.7535
1558136749,0.754
1558136750,0.7545
1558136751,0.755
1558136752,0.7555
1558136753,0.756
1558136754,0.7565
1558136755,0.757
1558136756,0.7575
1558136757,0.758
1558136758,0.7585
1558136759,0.759
1558136760,0.7595
1558136761,0.76
1558136762,0.7605
1558136763,0.761
1558136764,0.7615
1558136765,0.762
1558136766,0.7625
1558136767,0.763
1558136768,0.7635
1558136769,0.764
1558136770,0.7645
1558136771,0.765
1558136772,0.7655
1558136773,0.766
1558136774,0.7665
1558136775,0.767
1558136776,0.7675
1558136777,0.768
1558136778,0.7685
1558136779,0.769
1558136780,0.7695
1558136781,0.77
1558136782,0.7705
1558136783,0.771
1558136784,0.7715
1558136785,0.772
1558136786,0.7725
1558136787,0.773
1558136788,0.7735
1558136789,0.774
1558136790,0.7745
1558136791,0.775
1558136792,0.7755
1558136793,0.776
1558136794,0.7765
1558136795,0.777
1558136796,0.7775
1558136797,0.778
1558136798,0.7785
1558136799,0.779
1558136800,0.7795
1558136801,0.78
1558136802,0.7805
1558136803,0.781
1558136804,0.7815
1558136805,0.782
1558136806,0.7825
1558136807,0.783
1558136808,0.7835
1558136809,0.784
1558136810,0.7845
1558136811,0.785
1558136812,0.7855
1558136813,0.786
1558136814,0.7865
1558136815,0.787
1558136816,0.7875
1558136817,0.788
1558136818,0.7885
1558136819,0.789
1558136820,0.7895
1558136821,0.79
1558136822,0.7905
1558136823,0.791
1558136824,0.7915
1558136825,0.792
1558136826,0.7925
1558136827,0.793
1558136828,0.7935
1558136829,0.794
1558136830,0.7945
1558136831,0.795
1558136832,0.7955
1558136833,0.796
1558136834,0.7965
1558136835,0.797
1558136836,0.7975
1558136837,0.798
1558136838,0.7985
1558136839,0.799
1558136840,0.7995
1558136841,0.8
1558136842,0.8005
1558136843,0.801
1558136844,0.8015
1558136845,0.802
1558136846,0.8025
1558136847,0.803
1558136848,0.8035
1558136849,0.804
1558136850,0.8045
1558136851,0.805
1558136852,0.8055
1558136853,0.806
1558136854,0.8065
1558136855,0.807
1558136856,0.8075
1558136857,0.808
1558136858,0.8085
1558136859,0.809
1558136860,0.8095
1558136861,0.81
1558136862,0.8105
1558136863,0.811
1558136864,0.8115
1558136865,0.812
1558136866,0.8125
1558136867,0.813
1558136868,0.8135
1558136869,0.814
1558136870,0.8145
1558136871,0.815
1558136872,0.8155
1558136873,0.816
1558136874,0.8165
1558136875,0.817
1558136876,0.8175
1558136877,0.818
1558136878,0.8185
1558136879,0.819
1558136880,0.8195
1558136881,0.82
1558136882,0.8205
1558136883,0.821
1558136884,0.8215
1558136885,0.822
1558136886,0.8225
1558136887,0.823
1558136888,0.8235
1558136889,0.824
1558136890,0.8245
1558136891,0.825
1558136892,0.8255
1558136893,0.826
1558136894,0.8265
1558136895,0.827
1558136896,0.8275
1558136897,0.828
1558136898,0.8285
1558136899,0.829
1558136900,0.8295
1558136901,0.83
1558136902,0.8305
1558136903,0.831
1558136904,0.8315
1558136905,0.832
1558136906,0.8325
1558136907,0.833
1558136908,0.8335
1558136909,0.834
1558136910,0.8345
1558136911,0.835
1558136912,0.8355
1558136913,0.836
1558136914,0.8365
1558136915,0.837
1558136916,0.8375
1558136917,0.838
1558136918,0.8385
1558136919,0.839
1558136920,0.8395
1558136921,0.84
1558136922,0.8405
1558136923,0.841
1558136924,0.8415
1558136925,0.842
1558136926,0.8425
1558136927,0.843
1558136928,0.8435
1558136929,0.844
1558136930,0.8445
1558136931,0.845
1558136932,0.8455
1558136933,0.846
1558136934,0.8465
1558136935,0.847
1558136936,0.8475
1558136937,0.848
1558136938,0.8485
1558136939,0.849
1558136940,0.8495
1558136941,0.85
1558136942,0.8505
1558136943,0.851
1558136944,0.8515
1558136945,0.852
1558136946,0.8525
1558136947,0.853
1558136948,0.8535
1558136949,0.854
1558136950,0.8545
1558136951,0.855
1558136952,0.8555
1558136953,0.856
1558136954,0.8565
1558136955,0.857
1558136956,0.8575
1558136957,0.858
1558136958,0.8585
1558136959,0.859
1558136960,0.8595
1558136961,0.86
1558136962,0.8605
1558136963,0.861
1558136964,0.8615
1558136965,0.862
1558136966,0.8625
1558136967,0.863
1558136968,0.8635
1558136969,0.864
1558136970,0.8645
1558136971,0.865
1558136972,0.8655
1558136973,0.866
1558136974,0.8665
1558136975,0.867
1558136976,0.8675
1558136977,0.868
1558136978,0.8685
1558136979,0.869
1558136980,0.8695
1558136981,0.87
1558136982,0.8705
1558136983,0.871
1558136984,0.8715
1558136985,0.872
1558136986,0.8725
1558136987,0.873
1558136988,0.8735
1558136989,0.874
1558136990,0.8745
1558136991,0.875
1558136992,0.8755
1558136993,0.876
1558136994,0.8765
1558136995,0.877
1558136996,0.8775
1558136997,0.878
1558136998,0.8785
1558136999,0.879
1558137000,0.8795
1558137001,0.88
1558137002,0.8805
1558137003,0.881
1558137004,0.8815
1558137005,0.882
1558137006,0.8825
1558137007,0.883
1558137008,0.8835
1558137009,0.884
1558137010,0.8845
1558137011,0.885
1558137012,0.8855
1558137013,0.886
1558137014,0.8865
1558137015,0.887
1558137016,0.8875
1558137017,0.888
1558137018,0.8885
1558137019,0.889
1558137020,0.8895
1558137021,0.89
1558137022,0.8905
1558137023,0.891
1558137024,0.8915
