timestamp,value
1558135980,3504312
1558135981,2326368
1558135982,3498808
1558135983,2304480
1558135984,3476112
1558135985,2272536
1558135986,3444408
1558135987,2320632
1558135988,3494144
1558135989,2359728
1558135990,3531928
1558135991,2346640
1558135992,3477024
1558135993,2257176
1558135994,3469848
1558135995,2232320
1558135996,3404984
1558135997,2290632
1558135998,3463496
1558135999,2316576
1558136000,3487896
1558136001,2298992
1558136002,3471456
1558136003,2291040
1558136004,3462128
1558136005,2280904
1558136006,3454152
1558136007,2300840
1558136008,3512648
1558136009,2267976
1558136010,3478552
1558136011,2269768
1558136012,3440304
1558136013,2239648
1558136014,3411968
1558136015,2244296
1558136016,3415920
1558136017,2230784
1558136018,3444816
1558136019,2274544
1558136020,3447048
1558136021,2306816
1558136022,3478696
1558136023,2247976
1558136024,3418928
1558136025,2326624
1558136026,3497032
1558136027,2373384
1558136028,3545696
1558136029,2342680
1558136030,3514248
1558136031,2319352
1558136032,3449784
1558136033,2339656
1558136034,3551544
1558136035,2330344
1558136036,3502096
1558136037,2313352
1558136038,3485928
1558136039,2317224
1558136040,3491240
1558136041,2288352
1558136042,3460712
1558136043,2355080
1558136044,3525752
1558136045,2374448
1558136046,3545792
1558136047,2268544
1558136048,3481968
1558136049,2319280
1558136050,3488208
1558136051,2336840
1558136052,3508008
1558136053,2282712
1558136054,3457224
1558136055,2239000
1558136056,3409872
1558136057,2239784
1558136058,3411072
1558136059,2272880
1558136060,3405984
1558136061,2323248
1558136062,3457296
1558136063,2312712
1558136064,3484192
1558136065,2295104
1558136066,3427144
1558136067,2328104
1558136068,3500752
1558136069,2255440
1558136070,3386904
1558136071,2316696
1558136072,3490232
1558136073,2320104
1558136074,3491848
1558136075,2294520
1558136076,3466904
1558136077,2302728
1558136078,3473872
1558136079,2317576
1558136080,3449944
1558136081,2284176
1558136082,3494664
1558136083,2307408
1558136084,3439712
1558136085,2284464
1558136086,3455256
1558136087,2258664
1558136088,3469480
1558136089,2296456
1558136090,3431496
1558136091,2338504
1558136092,3510760
1558136093,2309488
1558136094,3483368
1558136095,2329024
1558136096,3500936
1558136097,2329008
1558136098,3502392
1558136099,2312944
1558136100,3485864
1558136101,2368640
1558136102,3501440
1558136103,2349424
1558136104,3521784
1558136105,2331288
1558136106,3503464
1558136107,2335608
1558136108,3507488
1558136109,2318992
1558136110,3490848
1558136111,2250208
1558136112,3423432
1558136113,2259272
1558136114,3431328
1558136115,2317856
1558136116,3489232
1558136117,2298352
1558136118,3470552
1558136119,2324608
1558136120,3495752
1558136121,2366600
1558136122,3498040
1558136123,2293456
1558136124,3465920
1558136125,2306576
1558136126,3480608
1558136127,2301632
1558136128,3512560
1558136129,2324536
1558136130,3495496
1558136131,2370120
1558136132,3541288
1558136133,2344784
1558136134,3515256
1558136135,2314880
1558136136,3525976
1558136137,2310144
1558136138,3481752
