timestamp,value
1558143180,10444800
1558143181,17424384
1558143182,11165696
1558143183,16637952
1558143184,9773056
1558143185,15368192
1558143186,17203200
1558143187,10403840
1558143188,15564800
1558143189,17203200
1558143190,11657216
1558143191,15171584
1558143192,8970240
1558143193,17416192
1558143194,9887744
1558143195,15515648
1558143196,17047552
1558143197,9117696
1558143198,16171008
1558143199,18087936
1558143200,13082624
1558143201,16187392
1558143202,10592256
1558143203,15941632
1558143204,9994240
1558143205,16539648
1558143206,10289152
1558143207,15499264
1558143208,8929280
1558143209,15949824
1558143210,12394496
1558143211,20529152
1558143212,14868480
1558143213,17391616
1558143214,17940480
1558143215,12640256
1558143216,15671296
1558143217,10305536
1558143218,17072128
1558143219,20652032
1558143220,15056896
1558143221,16695296
1558143222,10936320
1558143223,15343616
1558143224,8814592
1558143225,17063936
1558143226,17858560
1558143227,13295616
1558143228,15982592
1558143229,8142848
1558143230,17424384
1558143231,10190848
1558143232,15818752
1558143233,17588224
1558143234,11010048
1558143235,15900672
1558143236,9273344
1558143237,17137664
1558143238,17727488
1558143239,12697600
1558143240,15843328
1558143241,10723328
1558143242,17465344
1558143243,11403264
1558143244,15933440
1558143245,18243584
1558143246,12148736
1558143247,16326656
1558143248,10346496
1558143249,17563648
1558143250,10608640
1558143251,15917056
1558143252,17489920
1558143253,11976704
1558143254,15228928
1558143255,9961472
1558143256,15360000
1558143257,17506304
1558143258,11755520
1558143259,15597568
1558143260,10231808
1558143261,16515072
1558143262,17637376
1558143263,13180928
1558143264,15859712
1558143265,10747904
1558143266,16351232
1558143267,10444800
1558143268,17276928
1558143269,11001856
1558143270,11517952
1558143271,17080320
1558143272,9707520
1558143273,16678912
1558143274,17096704
1558143275,11796480
1558143276,15794176
1558143277,18251776
1558143278,13172736
1558143279,15941632
1558143280,10813440
1558143281,16375808
1558143282,11100160
1558143283,17129472
1558143284,11059200
1558143285,16416768
1558143286,10354688
1558143287,16482304
1558143288,18006016
1558143289,12713984
1558143290,15900672
1558143291,10518528
1558143292,16580608
1558143293,11255808
1558143294,16695296
1558143295,9748480
1558143296,15138816
1558143297,17326080
1558143298,11837440
1558143299,16105472
1558143300,10125312
1558143301,16941056
1558143302,10444800
1558143303,15974400
1558143304,17866752
1558143305,12386304
1558143306,15687680
1558143307,9961472
1558143308,17014784
1558143309,16990208
1558143310,11149312
1558143311,16465920
1558143312,10190848
1558143313,16842752
1558143314,17276928
1558143315,10493952
1558143316,16089088
1558143317,9617408
1558143318,16531456
1558143319,16990208
1558143320,11296768
1558143321,16007168
1558143322,9945088
1558143323,17072128
1558143324,10321920
1558143325,14974976
1558143326,17080320
1558143327,10584064
1558143328,16556032
1558143329,17743872
1558143330,6815744
1558143331,14901248
1558143332,17596416
1558143333,11567104
1558143334,16187392
1558143335,9846784
1558143336,16277504
1558143337,17375232
1558143338,10993664
