timestamp,value
1558143180,58617154
1558143181,58617640
1558143182,58618028
1558143183,58618875
1558143184,58619345
1558143185,58619790
1558143186,58620348
1558143187,58620698
1558143188,58621149
1558143189,58622322
1558143190,58622600
1558143191,58623154
1558143192,58623667
1558143193,58623897
1558143194,58624313
1558143195,58625106
1558143196,58625800
1558143197,58626164
1558143198,58626600
1558143199,58627142
1558143200,58627842
1558143201,58628674
1558143202,58628936
1558143203,58629514
1558143204,58630975
1558143205,58632031
1558143206,58632487
1558143207,58632709
1558143208,58633049
1558143209,58633483
1558143210,58633715
1558143211,58634386
1558143212,58635132
1558143213,58635570
1558143214,58635820
1558143215,58636412
1558143216,58637274
1558143217,58637520
1558143218,58638228
1558143219,58638671
1558143220,58639143
1558143221,58640259
1558143222,58640449
1558143223,58641392
1558143224,58641581
1558143225,58641909
1558143226,58642875
1558143227,58643366
1558143228,58644000
1558143229,58644254
1558143230,58644531
1558143231,58645413
1558143232,58645669
1558143233,58646269
1558143234,58646639
1558143235,58647041
1558143236,58647585
1558143237,58648636
1558143238,58648858
1558143239,58649458
1558143240,58649922
1558143241,58650362
1558143242,58651229
1558143243,58651796
1558143244,58652456
1558143245,58652777
1558143246,58653163
1558143247,58653629
1558143248,58654833
1558143249,58655353
1558143250,58655626
1558143251,58656084
1558143252,58656625
1558143253,58657423
1558143254,58657747
1558143255,58658323
1558143256,58658833
1558143257,58659219
1558143258,58659907
1558143259,58660411
1558143260,58661025
1558143261,58661525
1558143262,58661803
1558143263,58663064
1558143264,58664465
1558143265,58664709
1558143266,58665499
1558143267,58665905
1558143268,58666069
1558143269,58667116
1558143270,58667572
1558143271,58668204
1558143272,58668339
1558143273,58668861
1558143274,58669557
1558143275,58669903
1558143276,58670501
1558143277,58670802
1558143278,58671130
1558143279,58671740
1558143280,58672543
1558143281,58673007
1558143282,58673411
1558143283,58673928
1558143284,58674525
1558143285,58675411
1558143286,58675917
1558143287,58676492
1558143288,58676832
1558143289,58677090
1558143290,58677659
1558143291,58678633
1558143292,58679025
1558143293,58679253
1558143294,58679605
1558143295,58680408
1558143296,58680726
1558143297,58681221
1558143298,58681559
1558143299,58682235
1558143300,58682773
1558143301,58683745
1558143302,58684244
1558143303,58684608
1558143304,58685298
1558143305,58685518
1558143306,58686068
1558143307,58686915
1558143308,58687260
1558143309,58687564
1558143310,58687821
1558143311,58688191
1558143312,58689658
1558143313,58690264
1558143314,58690647
1558143315,58691111
1558143316,58691638
1558143317,58692084
1558143318,58692840
1558143319,58693258
1558143320,58693581
1558143321,58694133
1558143322,58694316
1558143323,58695309
1558143324,58696936
1558143325,58697404
1558143326,58697738
1558143327,58698226
1558143328,58699450
1558143329,58699996
1558143330,58700360
1558143331,58700633
1558143332,58701183
1558143333,58701537
1558143334,58702181
1558143335,58702521
1558143336,58702807
1558143337,58703333
1558143338,58703571
1558143339,58705128
1558143340,58705526
1558143341,58705824
1558143342,58706324
1558143343,58706692
1558143344,58707810
1558143345,58708429
1558143346,58708929
1558143347,58709344
1558143348,58709660
1558143349,58710066
1558143350,58711030
1558143351,58711351
1558143352,58711658
1558143353,58712286
