timestamp,value
1558143180,3499424
1558143181,2313128
1558143182,3486752
1558143183,2299816
1558143184,3472728
1558143185,2300184
1558143186,3469928
1558143187,2294400
1558143188,3506032
1558143189,2349720
1558143190,3521872
1558143191,2314808
1558143192,3487952
1558143193,2328144
1558143194,3499160
1558143195,2321648
1558143196,3494960
1558143197,2314720
1558143198,3485520
1558143199,2300904
1558143200,3473096
1558143201,2330656
1558143202,3502304
1558143203,2233584
1558143204,3444232
1558143205,2272488
1558143206,3445160
1558143207,2245288
1558143208,3416608
1558143209,2280856
1558143210,3453208
1558143211,2258280
1558143212,3390936
1558143213,2244960
1558143214,3417616
1558143215,2270888
1558143216,3441520
1558143217,2249216
1558143218,3459456
1558143219,2237248
1558143220,3407696
1558143221,2308624
1558143222,3480760
1558143223,2290968
1558143224,3462216
1558143225,2288896
1558143226,3459448
1558143227,2345184
1558143228,3477208
1558143229,2340280
1558143230,3511888
1558143231,2316440
1558143232,3488936
1558143233,2289960
1558143234,3460760
1558143235,2358624
1558143236,3530912
1558143237,2305040
1558143238,3478288
1558143239,2274704
1558143240,3485504
1558143241,2304944
1558143242,3478176
1558143243,2347312
1558143244,3519256
1558143245,2333024
1558143246,3505248
1558143247,2296224
1558143248,3469864
1558143249,2315392
1558143250,3488176
1558143251,2326528
1558143252,3497696
1558143253,2319472
1558143254,3491200
1558143255,2300232
1558143256,3470928
1558143257,2266976
1558143258,3437928
1558143259,2238280
1558143260,3410792
1558143261,2209296
1558143262,3421424
1558143263,2296648
1558143264,3470944
1558143265,2294960
1558143266,3466632
1558143267,2325464
1558143268,3496344
1558143269,2296840
1558143270,3468232
1558143271,2380312
1558143272,3554144
1558143273,2299816
1558143274,3431752
1558143275,2293424
1558143276,3426072
1558143277,2299184
1558143278,3470912
1558143279,2317504
1558143280,3489248
1558143281,2280128
1558143282,3452040
1558143283,2234256
1558143284,3407320
1558143285,2256752
1558143286,3431224
1558143287,2290360
1558143288,3500752
1558143289,2360544
1558143290,3531336
1558143291,2282872
1558143292,3493840
1558143293,2228560
1558143294,3441328
1558143295,2265456
1558143296,3435712
1558143297,2285112
1558143298,3456496
1558143299,2284400
1558143300,3455712
1558143301,2319768
1558143302,3450424
1558143303,2324048
