timestamp,value
1558143180,50437856
1558143181,50438492
1558143182,50439255
1558143183,50439699
1558143184,50439981
1558143185,50441027
1558143186,50441544
1558143187,50441970
1558143188,50442570
1558143189,50442834
1558143190,50442971
1558143191,50443959
1558143192,50444386
1558143193,50444770
1558143194,50445175
1558143195,50445382
1558143196,50446525
1558143197,50446980
1558143198,50448103
1558143199,50448292
1558143200,50448575
1558143201,50449663
1558143202,50450343
1558143203,50450755
1558143204,50451313
1558143205,50451711
1558143206,50452155
1558143207,50452689
1558143208,50453350
1558143209,50453944
1558143210,50454156
1558143211,50454378
1558143212,50455342
1558143213,50455764
1558143214,50456567
1558143215,50456722
1558143216,50456990
1558143217,50457460
1558143218,50459707
1558143219,50460798
1558143220,50461111
1558143221,50461327
1558143222,50462408
1558143223,50462617
1558143224,50463127
1558143225,50463648
1558143226,50463951
1558143227,50464191
1558143228,50464866
1558143229,50465455
1558143230,50466072
1558143231,50466388
1558143232,50466651
1558143233,50467800
1558143234,50468162
1558143235,50469202
1558143236,50469529
1558143237,50469878
1558143238,50470836
1558143239,50471233
1558143240,50472081
1558143241,50472304
1558143242,50472708
1558143243,50472984
1558143244,50474046
1558143245,50474562
1558143246,50475336
1558143247,50475522
1558143248,50476000
1558143249,50476895
1558143250,50477156
1558143251,50477967
1558143252,50478310
1558143253,50478553
1558143254,50479475
1558143255,50479744
1558143256,50481002
1558143257,50481322
1558143258,50481618
1558143259,50482311
1558143260,50482844
1558143261,50483368
1558143262,50484052
1558143263,50484229
1558143264,50484750
1558143265,50485232
1558143266,50485524
1558143267,50486683
1558143268,50486902
1558143269,50486967
1558143270,50487866
1558143271,50488440
1558143272,50488834
1558143273,50489662
1558143274,50490057
1558143275,50490358
1558143276,50490960
1558143277,50491406
1558143278,50494235
1558143279,50494643
1558143280,50495035
1558143281,50495614
1558143282,50496052
1558143283,50497355
1558143284,50497856
1558143285,50498037
1558143286,50498975
1558143287,50499374
1558143288,50499826
1558143289,50500889
1558143290,50501192
1558143291,50501497
1558143292,50502125
1558143293,50502311
1558143294,50503248
1558143295,50503632
1558143296,50504047
1558143297,50504999
1558143298,50505313
1558143299,50506026
1558143300,50506542
1558143301,50506914
1558143302,50507821
1558143303,50508137
1558143304,50508806
1558143305,50509499
1558143306,50509763
1558143307,50510063
1558143308,50510963
1558143309,50511151
1558143310,50512463
1558143311,50512726
1558143312,50513183
1558143313,50514034
1558143314,50514461
1558143315,50514738
1558143316,50515554
1558143317,50515839
1558143318,50516157
1558143319,50516743
1558143320,50517092
1558143321,50518325
1558143322,50518609
1558143323,50518903
1558143324,50519539
1558143325,50520067
1558143326,50520457
1558143327,50521257
1558143328,50521660
1558143329,50521930
1558143330,50522697
1558143331,50522913
1558143332,50523555
1558143333,50523985
1558143334,50524415
1558143335,50524826
1558143336,50525153
1558143337,50526377
1558143338,50528355
1558143339,50528594
1558143340,50529519
1558143341,50529679
1558143342,50530220
1558143343,50531125
1558143344,50531575
1558143345,50531846
1558143346,50532525
1558143347,50532796
1558143348,50533479
1558143349,50533882
1558143350,50534159
1558143351,50534879
1558143352,50535404
1558143353,50536565
1558143354,50537015
1558143355,50537195
1558143356,50537727
1558143357,50538353
1558143358,50539654
1558143359,50540256
1558143360,50540701
1558143361,50540895
1558143362,50541653
1558143363,50541920
1558143364,50542828
1558143365,50543142
1558143366,50543376
1558143367,50544229
1558143368,50544624
1558143369,50545163
1558143370,50545615
1558143371,50546016
1558143372,50547088
1558143373,50547352
1558143374,50548694
1558143375,50548924
1558143376,50549331
1558143377,50549610
1558143378,50550110
1558143379,50550297
1558143380,50551090
1558143381,50551521
1558143382,50551794
1558143383,50552654
1558143384,50553084
1558143385,50553848
1558143386,50554020
1558143387,50554312
1558143388,50555418
1558143389,50555728
1558143390,50556354
1558143391,50556663
1558143392,50557108
1558143393,50557470
1558143394,50558152
1558143395,50559517
1558143396,50559650
1558143397,50560214
1558143398,50562141
1558143399,50562656
1558143400,50562956
1558143401,50563668
1558143402,50564222
1558143403,50564625
1558143404,50565779
1558143405,50566088
1558143406,50567346
1558143407,50567575
1558143408,50567762
1558143409,50568125
1558143410,50568699
1558143411,50572592
1558143412,50573218
1558143413,50573369
1558143414,50573943
1558143415,50575079
1558143416,50575443
